,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('Fp2', 'F3')",0.0,-0.6050897624949811,0.6050897624949811,-0.6851992707589177,-0.5368217217068104,alpha1
"('T5', 'O1')",0.0,-0.6009812246057171,0.6009812246057171,-0.6968960970021943,-0.47612662251839566,alpha2
"('F7', 'F3')",0.0,-0.593761659115631,0.593761659115631,-0.6883260999193284,-0.4714142180127528,alpha1
"('Fp1', 'Cz')",0.0,-0.5935520586092554,0.5935520586092554,-0.7441006673722952,-0.5355226636147671,beta1
"('F7', 'F8')",0.0,-0.5921247717566462,0.5921247717566462,-0.6932413447321755,-0.4367304244716517,alpha2
"('Fp1', 'F3')",0.0,-0.5858746343823058,0.5858746343823058,-0.7390315777869461,-0.48188347180109403,beta2
"('F3', 'Cz')",0.0,-0.5796375895335124,0.5796375895335124,-0.6858934810087575,-0.45058057101188886,beta1
"('F8', 'T5')",0.0,-0.5787379781308125,0.5787379781308125,-0.7266216747958503,-0.475084997590217,alpha2
"('Fp2', 'F8')",0.0,-0.5727315014830451,0.5727315014830451,-0.8256834794838501,-0.3231893719878335,alpha2
"('Fz', 'T3')",0.0,-0.5718434406846995,0.5718434406846995,-0.6772907287763319,-0.5072820143473744,alpha2
"('T3', 'Pz')",0.0,-0.5714688077665016,0.5714688077665016,-0.6565242947927427,-0.5035136555287085,alpha2
"('Fp2', 'T6')",0.0,-0.5651037485351684,0.5651037485351684,-0.7296657849666198,-0.45648903140770297,alpha2
"('F7', 'F3')",0.0,-0.5628316966526631,0.5628316966526631,-0.6659803257260014,-0.46744739070525165,beta2
"('Fp1', 'F4')",0.0,-0.5609536157879341,0.5609536157879341,-0.6625738158696175,-0.4795443982792988,alpha1
"('Fp2', 'F4')",0.0,-0.5560124184534103,0.5560124184534103,-0.6257334024140526,-0.4536824124856992,alpha1
"('F7', 'Pz')",0.0,-0.5547945309569108,0.5547945309569108,-0.694100244909668,-0.36145440419718244,alpha2
"('Fp2', 'C4')",0.0,-0.5545872225455153,0.5545872225455153,-0.6251047988003784,-0.4666440257201493,beta1
"('Fp1', 'F8')",0.0,-0.5515553184738303,0.5515553184738303,-0.7149346489053505,-0.3879327318065377,alpha2
"('F3', 'Fz')",0.0,-0.5507491005094273,0.5507491005094273,-0.7079638322023383,-0.381533936163834,alpha1
"('Fp2', 'F3')",0.0,-0.5490343634956768,0.5490343634956768,-0.731389616700397,-0.4249618908412843,beta1
"('Fp1', 'F7')",0.0,-0.5453437158313073,0.5453437158313073,-0.609143683381171,-0.4819774125672136,alpha1
"('Fz', 'T6')",0.0,-0.5435516664987834,0.5435516664987834,-0.6940260270125346,-0.456192130118681,alpha2
"('F3', 'O2')",0.0,-0.541306972628449,0.541306972628449,-0.6658577697556455,-0.36038167243873453,alpha2
"('F3', 'T3')",0.0,-0.5404680676441792,0.5404680676441792,-0.6196711883211908,-0.4504799502913046,alpha2
"('Fp1', 'F4')",0.0,-0.539579784635716,0.539579784635716,-0.6305908001746641,-0.42807090176882595,beta1
"('O2', 'P3')",0.0,0.5360834176248701,0.5360834176248701,0.4194164461238398,0.6210967936170972,alpha1
"('Fp1', 'O1')",0.0,-0.5311897476984233,0.5311897476984233,-0.5888899385620343,-0.42078112548019986,alpha2
"('T4', 'P4')",0.0,-0.5307591293459792,0.5307591293459792,-0.7204190947225332,-0.33909611274259716,beta2
"('T4', 'C4')",0.0,-0.5291832679828516,0.5291832679828516,-0.6345091403164882,-0.44992420203073874,alpha2
"('Fp2', 'C3')",0.0,-0.5288120845299826,0.5288120845299826,-0.6630629875930543,-0.43417478302671275,beta1
"('F8', 'O2')",0.0,-0.5283997670489627,0.5283997670489627,-0.5989038583763739,-0.45180748623433153,alpha2
"('Fp2', 'Fz')",0.0,-0.5246130511476003,0.5246130511476003,-0.719370336067157,-0.3332989662972031,alpha1
"('F7', 'Fz')",0.0,-0.5244677232387497,0.5244677232387497,-0.5983376308462075,-0.41260780575737976,alpha1
"('Fp2', 'O1')",0.0,-0.5237994392936584,0.5237994392936584,-0.6326682773805282,-0.41638145289073675,alpha2
"('T4', 'C4')",0.0,-0.5189720428210136,0.5189720428210136,-0.6701306222942314,-0.37086097920397354,beta2
"('F7', 'C3')",0.0,-0.5189391494331126,0.5189391494331126,-0.6345011061671857,-0.3916601299485659,alpha2
"('F3', 'C4')",0.0,-0.5174972547544612,0.5174972547544612,-0.6534392163535372,-0.42152166585739426,alpha2
"('O2', 'Pz')",0.0,0.5173847553794879,0.5173847553794879,0.40570968428626897,0.6477625750893774,alpha1
"('F7', 'O1')",0.0,-0.5152672333249966,0.5152672333249966,-0.7178471324663904,-0.40537970809467944,alpha2
