,index,dice,fdr,power,count,sample_size
0,sign_holm_bonferroni,0.27204030226700254,0.0,0.15743440233236153,54,50
1,sign_sidak,0.27204030226700254,0.0,0.15743440233236153,54,50
2,sign_bonferroni,0.27204030226700254,0.0,0.15743440233236153,54,50
3,sign_lsu,0.7368421052631579,0.15471698113207547,0.6530612244897959,265,50
4,sign_uncorr_0.01,0.7202680067001676,0.15354330708661418,0.6268221574344023,254,50
5,sign_uncorr_0.05,0.7473118279569892,0.30673316708229426,0.8104956268221575,401,50
6,sign_eff_0.05,0.7521865889212828,0.2478134110787172,0.7521865889212828,343,50
7,sign_eff_0.1,0.7342995169082126,0.17985611510791366,0.6647230320699709,278,50
8,sign_eff_0.15,0.6787658802177858,0.10096153846153846,0.5451895043731778,208,50
9,sign_holm_bonferroni,0.29280397022332505,0.016666666666666666,0.17201166180758018,60,50
10,sign_sidak,0.29280397022332505,0.016666666666666666,0.17201166180758018,60,50
11,sign_bonferroni,0.29280397022332505,0.016666666666666666,0.17201166180758018,60,50
12,sign_lsu,0.7275747508305648,0.15444015444015444,0.6384839650145773,259,50
13,sign_uncorr_0.01,0.7224080267558528,0.15294117647058825,0.6297376093294461,255,50
14,sign_uncorr_0.05,0.7708066581306018,0.3127853881278539,0.8775510204081632,438,50
15,sign_eff_0.05,0.7694444444444445,0.26525198938992045,0.8075801749271136,377,50
16,sign_eff_0.1,0.7298578199052133,0.20344827586206896,0.673469387755102,290,50
17,sign_eff_0.15,0.6881720430107527,0.10697674418604651,0.5597667638483965,215,50
18,sign_holm_bonferroni,0.18997361477572558,0.0,0.10495626822157435,36,50
19,sign_sidak,0.18997361477572558,0.0,0.10495626822157435,36,50
20,sign_bonferroni,0.18997361477572558,0.0,0.10495626822157435,36,50
21,sign_lsu,0.6884057971014492,0.09090909090909091,0.5539358600583091,209,50
22,sign_uncorr_0.01,0.6918918918918919,0.09433962264150944,0.5597667638483965,212,50
23,sign_uncorr_0.05,0.7352112676056338,0.2888283378746594,0.760932944606414,367,50
24,sign_eff_0.05,0.7178683385579937,0.22372881355932203,0.6676384839650146,295,50
25,sign_eff_0.1,0.7103448275862069,0.1308016877637131,0.6005830903790087,237,50
26,sign_eff_0.15,0.6475095785440613,0.055865921787709494,0.49271137026239065,179,50
0,sign_holm_bonferroni,0.5,0.008620689655172414,0.33430232558139533,116,50
1,sign_sidak,0.49344978165938863,0.008771929824561403,0.32848837209302323,114,50
2,sign_bonferroni,0.49452954048140046,0.0,0.32848837209302323,113,50
3,sign_lsu,0.7954220314735336,0.21690140845070421,0.8081395348837209,355,50
4,sign_uncorr_0.01,0.7849624060150376,0.18691588785046728,0.7587209302325582,321,50
5,sign_uncorr_0.05,0.7671568627450981,0.336864406779661,0.9098837209302325,472,50
6,sign_eff_0.05,0.7898936170212766,0.27205882352941174,0.8633720930232558,408,50
7,sign_eff_0.1,0.7929515418502202,0.19881305637982197,0.7848837209302325,337,50
8,sign_eff_0.15,0.7564102564102564,0.15714285714285714,0.686046511627907,280,50
9,sign_holm_bonferroni,0.2982885085574572,0.06153846153846154,0.17732558139534885,65,50
10,sign_sidak,0.2982885085574572,0.06153846153846154,0.17732558139534885,65,50
11,sign_bonferroni,0.2982885085574572,0.06153846153846154,0.17732558139534885,65,50
12,sign_lsu,0.7040673211781207,0.31978319783197834,0.7296511627906976,369,50
13,sign_uncorr_0.01,0.6867469879518072,0.2875,0.6627906976744186,320,50
14,sign_uncorr_0.05,0.6786140979689367,0.4239350912778905,0.8255813953488372,493,50
15,sign_eff_0.05,0.7023498694516971,0.36255924170616116,0.7819767441860465,422,50
16,sign_eff_0.1,0.6954022988505747,0.3125,0.7034883720930233,352,50
17,sign_eff_0.15,0.6677577741407529,0.23595505617977527,0.5930232558139535,267,50
18,sign_holm_bonferroni,0.21243523316062177,0.023809523809523808,0.11918604651162791,42,50
19,sign_sidak,0.21243523316062177,0.023809523809523808,0.11918604651162791,42,50
20,sign_bonferroni,0.2077922077922078,0.024390243902439025,0.11627906976744186,41,50
