,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('Fp1', 'F3')",1.003728105312855e-12,-0.6036146186235944,0.6036146186235944,-0.7201843292817394,-0.48216012719797174,beta2
"('Fp1', 'Fz')",2.971945318807322e-12,-0.6009195382232979,0.6009195382232979,-0.7200382682849567,-0.49549084865392456,alpha1
"('F7', 'F3')",4.164760769774518e-12,-0.6004064942110328,0.6004064942110328,-0.7531333547108053,-0.4991875809220194,beta1
"('T5', 'O1')",8.501789755480021e-11,-0.5998927250720738,0.5998927250720738,-0.7534771356732173,-0.4821994886499046,alpha2
"('Fp1', 'F7')",2.525913498855683e-12,-0.5971294977608909,0.5971294977608909,-0.7012868080914458,-0.520877943887368,beta1
"('F3', 'T6')",2.525913498855683e-12,-0.5970314284443858,0.5970314284443858,-0.7195938035493001,-0.5360156558671555,alpha2
"('Fp2', 'F8')",1.3448220246415883e-11,-0.5926458724251525,0.5926458724251525,-0.7704800426313085,-0.4498165507468069,alpha2
"('F3', 'Cz')",2.1328323004420395e-11,-0.5918714854796574,0.5918714854796574,-0.6922680185416291,-0.5215746852636083,beta1
"('F3', 'Fz')",1.8151374983368171e-12,-0.5882869515288806,0.5882869515288806,-0.6732234153550035,-0.510373298480215,beta1
"('Fp1', 'F8')",1.1865189720284433e-10,-0.5801185254917319,0.5801185254917319,-0.669847082626389,-0.49184421864037897,alpha2
"('C3', 'C4')",1.508015742990607e-11,-0.5795592784412529,0.5795592784412529,-0.6815344028711248,-0.4715356849540837,alpha2
"('Fp2', 'Cz')",1.2074260436779863e-11,-0.579512570352734,0.579512570352734,-0.6155891914797917,-0.5330322527174324,beta1
"('Fp1', 'F4')",1.5086181574549374e-10,-0.5767429840730386,0.5767429840730386,-0.6758768920573172,-0.4442825401242281,beta1
"('F3', 'O2')",2.983597814410006e-10,-0.576125394193203,0.576125394193203,-0.6878214007967826,-0.3705854219955173,alpha2
"('Fp2', 'F4')",1.0606196992609716e-11,-0.5728720327267915,0.5728720327267915,-0.6366841886003116,-0.49941619061295595,gamma
"('F7', 'F3')",6.641230911801202e-11,-0.5717999453635412,0.5717999453635412,-0.7293805929735013,-0.45734401483651205,beta2
"('Fp2', 'C3')",1.3650349323297807e-10,-0.5715042884522062,0.5715042884522062,-0.6508743643931338,-0.485884562374988,beta1
"('F7', 'Fz')",1.1095001305855559e-10,-0.5700454424800967,0.5700454424800967,-0.6901988876883601,-0.4651973474634844,alpha1
"('Fz', 'T6')",3.5399576744806297e-10,-0.567267766110892,0.567267766110892,-0.6644725978858697,-0.4833907753173725,alpha2
"('F3', 'Fz')",4.1204032759067e-11,-0.5668321303337919,0.5668321303337919,-0.6514099326619622,-0.48442738219592807,alpha1
"('T3', 'Pz')",5.462058531315149e-11,-0.5643691790735403,0.5643691790735403,-0.6325040355792757,-0.47146760396469745,alpha2
"('Fp2', 'T6')",6.622405161713795e-11,-0.561099000819871,0.561099000819871,-0.67326176603213,-0.43699370728261594,alpha2
"('F4', 'C3')",4.860937668626819e-11,-0.558242554654132,0.558242554654132,-0.6822617303435545,-0.44003160764566573,alpha2
"('F7', 'F3')",8.778169852310223e-12,-0.5558032447223671,0.5558032447223671,-0.6699933010161645,-0.45742202181253266,alpha1
"('Fp2', 'F3')",3.690183715085438e-11,-0.5510951843158007,0.5510951843158007,-0.6029376868465862,-0.4359571738585304,alpha1
"('Fp1', 'F7')",1.4321330183303643e-10,-0.5477520767029069,0.5477520767029069,-0.5894998749194791,-0.4863556943126549,alpha1
"('Fp1', 'F4')",1.2280780253962138e-11,-0.5473864931298561,0.5473864931298561,-0.6001259514647547,-0.47273007059024996,alpha1
"('Fp2', 'F4')",7.073164603615993e-11,-0.5470991845909519,0.5470991845909519,-0.6195275292467823,-0.48777251027990315,alpha1
"('Fp2', 'Fz')",1.5715814183057997e-09,-0.541600546359966,0.541600546359966,-0.6590552392175899,-0.36498689927084904,alpha1
"('F7', 'F8')",2.489384307732889e-10,-0.5275567990374969,0.5275567990374969,-0.6799557421739201,-0.4171221534874263,alpha2
"('Fp1', 'O1')",2.9547597624321583e-09,-0.5273361176578123,0.5273361176578123,-0.6627143272142271,-0.44503342952725805,alpha2
"('F3', 'C3')",3.4846175192323868e-09,-0.5267122777549538,0.5267122777549538,-0.5992155418336822,-0.46483563600125366,beta1
"('Fp2', 'Fz')",6.641230911801202e-11,-0.5244846790009656,0.5244846790009656,-0.6516759654431167,-0.3461402403525065,beta2
"('Fp2', 'F3')",7.118853002798434e-10,-0.5244025251449427,0.5244025251449427,-0.5807270272315096,-0.4282441225348501,beta1
"('O2', 'Pz')",4.20828585155928e-10,0.5220958422500173,0.5220958422500173,0.37197913024428547,0.6765304007916347,alpha1
"('Fp1', 'F3')",7.272097848133338e-10,-0.5216885354169222,0.5216885354169222,-0.6415070358987696,-0.45646543576958376,theta
"('F7', 'Pz')",4.780952853441199e-10,-0.5199646652391002,0.5199646652391002,-0.6022628444482859,-0.39148712319637546,alpha2
"('O1', 'O2')",1.687863605885087e-08,0.5193029782303934,0.5193029782303934,0.3878025405449596,0.6729652858395745,delta
"('F3', 'T3')",2.8336249282927737e-10,-0.5132834474793821,0.5132834474793821,-0.606039302276395,-0.42185576682810194,alpha2
"('Fp2', 'C4')",5.843209908864102e-10,-0.5111155116309642,0.5111155116309642,-0.588165172794042,-0.4150020342969091,beta1
"('Fp2', 'C3')",1.3844959327467843e-09,-0.5063878464318666,0.5063878464318666,-0.6380648337482484,-0.3369401225751582,alpha1
"('T4', 'C4')",2.9460278768217228e-09,-0.5033539625006314,0.5033539625006314,-0.6270583611683349,-0.40711613934787627,beta2
"('F4', 'F8')",1.9676358734889786e-07,-0.5024718745924994,0.5024718745924994,-0.7045589849651526,-0.3436907989452163,alpha1
"('F8', 'O2')",7.267185367343972e-10,-0.5019748621654861,0.5019748621654861,-0.550328359736745,-0.43306874046602717,alpha2
"('F3', 'F4')",3.810382652126735e-09,-0.501069151548577,0.501069151548577,-0.7157094869179446,-0.40045753750468105,alpha1
"('T4', 'C4')",7.25753840427178e-09,-0.49832856189718394,0.49832856189718394,-0.6148681232464722,-0.33319488801655195,alpha2
"('F3', 'C4')",9.988755862757497e-09,-0.4982337187474887,0.4982337187474887,-0.5835785846995687,-0.4061062895511694,alpha2
"('O1', 'O2')",2.008534502573621e-10,0.49776723613392254,0.49776723613392254,0.3425430973750725,0.6334518603934053,alpha1
"('Fz', 'F4')",1.0584956040649015e-08,-0.49554792491257926,0.49554792491257926,-0.5961050528016465,-0.3262364243574671,alpha1
"('F7', 'C3')",1.3034295030812092e-08,-0.4949294025260512,0.4949294025260512,-0.6311148088260645,-0.3726758239373226,alpha2
"('Fz', 'O2')",3.7802000435183595e-08,-0.49121889552555065,0.49121889552555065,-0.5612330182444314,-0.36015759443821,alpha2
"('T4', 'C4')",7.51260015183756e-08,-0.4866212760243398,0.4866212760243398,-0.5641317009728005,-0.42487337025339633,beta1
"('F7', 'T3')",3.455481128277461e-08,-0.48631019998037883,0.48631019998037883,-0.6511578200227216,-0.3428159429914094,beta1
"('F4', 'Cz')",1.6014235851896183e-08,-0.48379174547054726,0.48379174547054726,-0.607031513132648,-0.369197882470901,beta1
"('F8', 'T4')",2.5369272736923016e-08,-0.48180883290054694,0.48180883290054694,-0.5805721459386539,-0.39238521928395087,beta2
"('Fp1', 'C3')",2.0286111268062455e-08,-0.48166516538030113,0.48166516538030113,-0.5577893652352757,-0.390689966361617,delta
"('Fp2', 'T5')",3.0433586475213256e-07,-0.48052801394866645,0.48052801394866645,-0.6268270325815378,-0.3545003333087657,alpha2
"('Fp1', 'Fp2')",6.237000985261584e-08,-0.4799268590687674,0.4799268590687674,-0.5883829542862606,-0.38662932555919577,beta2
"('Fp1', 'Cz')",1.1713813447013703e-08,-0.47656553912887745,0.47656553912887745,-0.6047765771989517,-0.3176155256579156,alpha2
"('Fp1', 'F3')",1.6634673941476742e-08,-0.4758521358060621,0.4758521358060621,-0.5685867214270341,-0.4090986984719965,delta
"('T6', 'Pz')",5.263900773052007e-09,0.47568887569650703,0.47568887569650703,0.3298393104213655,0.5709213179664137,alpha1
"('O2', 'P3')",1.4892863824083793e-10,0.47381158055923694,0.47381158055923694,0.3940487620836479,0.5417344123557439,alpha1
"('T5', 'O1')",9.624337456400188e-08,-0.47060274404891683,0.47060274404891683,-0.5652753228797239,-0.3539245964647623,beta2
"('F7', 'Cz')",1.3160373741974902e-07,-0.46932822943438907,0.46932822943438907,-0.5503319412827713,-0.37964317756659566,alpha1
"('O2', 'Cz')",8.216323701670628e-07,0.4680201618400813,0.4680201618400813,0.32808265028203365,0.5758987754414845,beta2
"('F4', 'T5')",9.490632385537659e-08,-0.46783457728249,0.46783457728249,-0.5498242601745555,-0.39010067248812075,alpha2
"('F7', 'P4')",1.0606208365316296e-08,-0.46724541118210716,0.46724541118210716,-0.5305391841948376,-0.4073214272085455,alpha2
"('T5', 'O2')",1.6896381389159428e-07,0.4660155033996311,0.4660155033996311,0.23539241244235226,0.6967977692511036,alpha1
"('F8', 'Cz')",4.636345346276976e-09,-0.46480868658645785,0.46480868658645785,-0.5735618124690943,-0.33054453027848374,alpha2
"('Fp1', 'C3')",8.117105240579836e-09,-0.4636297634817154,0.4636297634817154,-0.5203960284581614,-0.3826617547095565,alpha1
"('Fp2', 'O1')",1.5715814183057997e-09,-0.46274118591173385,0.46274118591173385,-0.5379443754013465,-0.3736760106945569,alpha2
"('Fz', 'F4')",2.7700112096881328e-08,-0.4624976219703295,0.4624976219703295,-0.5792524241253031,-0.33292817057241136,beta2
"('Fp1', 'Fz')",4.119402924948436e-08,-0.4624309407896193,0.4624309407896193,-0.5035221674150525,-0.40231645668964366,theta
"('Fp1', 'T3')",5.319941461436203e-09,-0.4616597136227426,0.4616597136227426,-0.5488347332238614,-0.3907696465944764,alpha2
"('F4', 'O1')",5.434141584373259e-08,-0.46074028467149075,0.46074028467149075,-0.5178979211363672,-0.36386956219784805,alpha2
"('F4', 'T4')",9.368572128878543e-08,-0.4583929908497855,0.4583929908497855,-0.5815440732349337,-0.3637125417166142,beta2
"('T4', 'Cz')",1.963442791822042e-07,-0.4582278361847081,0.4582278361847081,-0.5695676333249948,-0.3592894484404899,alpha2
"('F7', 'O1')",1.1711668644507468e-08,-0.458041003893958,0.458041003893958,-0.5721617484890648,-0.3743882450590786,alpha2
"('Fp1', 'F4')",7.415638362702644e-08,-0.4574085628467028,0.4574085628467028,-0.5641764373972331,-0.31802764983448,beta2
"('Fp1', 'F4')",1.7861204746369543e-07,-0.45635071352058787,0.45635071352058787,-0.5106318722972782,-0.3958522025951295,theta
"('Fp1', 'Fz')",1.8753850660109424e-08,-0.45522864183466094,0.45522864183466094,-0.5541017757744989,-0.39783638104684294,delta
"('F7', 'F4')",6.004263768790081e-07,-0.4549662300178544,0.4549662300178544,-0.6111460332220517,-0.28265087653956544,alpha1
"('O2', 'Cz')",1.5462863788004093e-07,0.45279647281639557,0.45279647281639557,0.301810120979504,0.5447363956950858,alpha1
"('T6', 'C4')",1.8124881451442087e-07,0.45226464039559255,0.45226464039559255,0.31233292174998106,0.5596262145072916,alpha1
"('F3', 'F4')",2.3281827719362447e-07,-0.4510621834336185,0.4510621834336185,-0.5579652179412036,-0.2898530263319449,beta1
"('T4', 'P4')",6.215023907739759e-08,-0.4509822113151186,0.4509822113151186,-0.5571010608427263,-0.34177182326902383,beta2
"('Fp2', 'Cz')",1.2514719034733825e-07,-0.45072240761278487,0.45072240761278487,-0.5225396355236185,-0.3547395984828413,alpha2
"('F3', 'C3')",1.712744036613645e-07,-0.4503649032333337,0.4503649032333337,-0.5410300186338126,-0.3570971238701396,beta2
"('Fp1', 'C3')",4.882216804753492e-07,-0.4491247627676066,0.4491247627676066,-0.5412047546158012,-0.3191452983600061,beta2
"('F7', 'Fz')",3.951255403050604e-07,-0.44854415405519965,0.44854415405519965,-0.545319350516917,-0.294722301224827,beta1
"('Fp2', 'C3')",7.943843398510176e-07,-0.4482220665771077,0.4482220665771077,-0.5521528950976915,-0.36733415022759847,delta
"('Fp2', 'F8')",1.2995277486927182e-07,-0.44768216827389373,0.44768216827389373,-0.5393694634568952,-0.3603288011406973,beta2
"('Fp1', 'Cz')",2.8394362812110344e-07,-0.4442901180758166,0.4442901180758166,-0.5567474721886247,-0.34299649646537544,beta2
"('F7', 'C3')",6.473813277532983e-07,-0.44197411724268865,0.44197411724268865,-0.5088475285516223,-0.35999430383677977,alpha1
"('O2', 'Pz')",9.836793892371144e-08,0.4411259821820148,0.4411259821820148,0.34285082514521414,0.5040371534776324,delta
"('F3', 'C3')",6.52364035270858e-07,-0.4394361575472101,0.4394361575472101,-0.5222558691802097,-0.3093955688492617,alpha2
"('F3', 'T3')",1.712744036613645e-07,-0.4378928331719453,0.4378928331719453,-0.5025858348884674,-0.3444610776810334,beta1
