,index,dice,fdr,power,count,sample_size
0,sign_holm_bonferroni,0.4318181818181818,0.0,0.2753623188405797,95,60
1,sign_sidak,0.4318181818181818,0.0,0.2753623188405797,95,60
2,sign_bonferroni,0.428246013667426,0.0,0.27246376811594203,94,60
3,sign_lsu,0.7867036011080333,0.246684350132626,0.8231884057971014,377,60
4,sign_uncorr_0.01,0.7900874635568513,0.20527859237536658,0.7855072463768116,341,60
5,sign_uncorr_0.05,0.747072599531616,0.37328094302554027,0.9246376811594202,509,60
6,sign_eff_0.05,0.7736093143596378,0.3014018691588785,0.8666666666666667,428,60
7,sign_eff_0.1,0.7883211678832117,0.20588235294117646,0.782608695652174,340,60
8,sign_eff_0.15,0.7585089141004863,0.13970588235294118,0.6782608695652174,272,60
9,sign_holm_bonferroni,0.4155251141552511,0.021505376344086023,0.263768115942029,93,60
10,sign_sidak,0.4045977011494253,0.022222222222222223,0.25507246376811593,90,60
11,sign_bonferroni,0.4045977011494253,0.022222222222222223,0.25507246376811593,90,60
12,sign_lsu,0.7660738714090287,0.27461139896373055,0.8115942028985508,386,60
13,sign_uncorr_0.01,0.7604017216642754,0.2471590909090909,0.7681159420289855,352,60
14,sign_uncorr_0.05,0.7479289940828402,0.368,0.9159420289855073,500,60
15,sign_eff_0.05,0.7580853816300129,0.31542056074766356,0.8492753623188406,428,60
16,sign_eff_0.1,0.7549857549857549,0.25770308123249297,0.7681159420289855,357,60
17,sign_eff_0.15,0.7147435897435898,0.2007168458781362,0.6463768115942029,279,60
18,sign_holm_bonferroni,0.32929782082324455,0.0,0.19710144927536233,68,60
19,sign_sidak,0.32929782082324455,0.0,0.19710144927536233,68,60
20,sign_bonferroni,0.32929782082324455,0.0,0.19710144927536233,68,60
21,sign_lsu,0.7207488299531981,0.2195945945945946,0.6695652173913044,296,60
22,sign_uncorr_0.01,0.7145135566188198,0.20567375886524822,0.6492753623188405,282,60
23,sign_uncorr_0.05,0.7496823379923762,0.332579185520362,0.855072463768116,442,60
24,sign_eff_0.05,0.7454798331015299,0.28342245989304815,0.7768115942028986,374,60
25,sign_eff_0.1,0.7168,0.2,0.6492753623188405,280,60
26,sign_eff_0.15,0.6570397111913358,0.1291866028708134,0.527536231884058,209,60
0,sign_holm_bonferroni,0.2619647355163728,0.0,0.15072463768115943,52,60
1,sign_sidak,0.2619647355163728,0.0,0.15072463768115943,52,60
2,sign_bonferroni,0.2619647355163728,0.0,0.15072463768115943,52,60
3,sign_lsu,0.6827586206896552,0.1574468085106383,0.5739130434782609,235,60
4,sign_uncorr_0.01,0.6838487972508591,0.16033755274261605,0.5768115942028985,237,60
5,sign_uncorr_0.05,0.7517146776406035,0.2864583333333333,0.7942028985507247,384,60
6,sign_eff_0.05,0.7223880597014926,0.2553846153846154,0.7014492753623188,325,60
7,sign_eff_0.1,0.6769759450171822,0.16877637130801687,0.5710144927536231,237,60
8,sign_eff_0.15,0.5923076923076923,0.12,0.4463768115942029,175,60
9,sign_holm_bonferroni,0.4759825327510917,0.035398230088495575,0.3159420289855073,113,60
10,sign_sidak,0.4692982456140351,0.036036036036036036,0.3101449275362319,111,60
11,sign_bonferroni,0.46255506607929514,0.03669724770642202,0.30434782608695654,109,60
12,sign_lsu,0.8062418725617685,0.2688679245283019,0.8985507246376812,424,60
13,sign_uncorr_0.01,0.8120713305898491,0.22916666666666666,0.8579710144927536,384,60
14,sign_uncorr_0.05,0.7488584474885844,0.3822975517890772,0.9507246376811594,531,60
15,sign_eff_0.05,0.788627935723115,0.3125,0.9246376811594202,464,60
16,sign_eff_0.1,0.8093922651933702,0.22691292875989447,0.8492753623188406,379,60
17,sign_eff_0.15,0.791476407914764,0.16666666666666666,0.7536231884057971,312,60
18,sign_holm_bonferroni,0.42630385487528344,0.020833333333333332,0.27246376811594203,96,60
19,sign_sidak,0.42630385487528344,0.020833333333333332,0.27246376811594203,96,60
20,sign_bonferroni,0.42630385487528344,0.020833333333333332,0.27246376811594203,96,60
21,sign_lsu,0.7899159663865546,0.23577235772357724,0.8173913043478261,369,60
22,sign_uncorr_0.01,0.7870778267254038,0.20238095238095238,0.7768115942028986,336,60
23,sign_uncorr_0.05,0.7456037514654161,0.37401574803149606,0.9217391304347826,508,60
24,sign_eff_0.05,0.7910643889618922,0.2764423076923077,0.8724637681159421,416,60
25,sign_eff_0.1,0.7923976608187134,0.20058997050147492,0.7855072463768116,339,60
26,sign_eff_0.15,0.7479674796747967,0.14814814814814814,0.6666666666666666,270,60
0,sign_holm_bonferroni,0.34615384615384615,0.0,0.20930232558139536,72,60
1,sign_sidak,0.3421686746987952,0.0,0.2063953488372093,71,60
2,sign_bonferroni,0.3421686746987952,0.0,0.2063953488372093,71,60
3,sign_lsu,0.7511737089201878,0.1864406779661017,0.6976744186046512,295,60
4,sign_uncorr_0.01,0.7387096774193549,0.17028985507246377,0.6656976744186046,276,60
5,sign_uncorr_0.05,0.7686567164179104,0.3282608695652174,0.8982558139534884,460,60
6,sign_eff_0.05,0.7785419532324622,0.26109660574412535,0.8226744186046512,383,60
7,sign_eff_0.1,0.7321711568938193,0.1951219512195122,0.6715116279069767,287,60
8,sign_eff_0.15,0.6860254083484574,0.08695652173913043,0.5494186046511628,207,60
9,sign_holm_bonferroni,0.2793017456359102,0.017543859649122806,0.16279069767441862,57,60
10,sign_sidak,0.2793017456359102,0.017543859649122806,0.16279069767441862,57,60
11,sign_bonferroni,0.2793017456359102,0.017543859649122806,0.16279069767441862,57,60
12,sign_lsu,0.6858168761220825,0.10328638497652583,0.5552325581395349,213,60
13,sign_uncorr_0.01,0.6985815602836879,0.10454545454545454,0.5726744186046512,220,60
14,sign_uncorr_0.05,0.7645429362880887,0.2698412698412698,0.8023255813953488,378,60
15,sign_eff_0.05,0.7569230769230769,0.19607843137254902,0.7151162790697675,306,60
16,sign_eff_0.1,0.6844919786096256,0.1152073732718894,0.5581395348837209,217,60
17,sign_eff_0.15,0.609375,0.07142857142857142,0.45348837209302323,168,60
18,sign_holm_bonferroni,0.4768211920529801,0.009174311926605505,0.313953488372093,109,60
19,sign_sidak,0.4700665188470067,0.009345794392523364,0.3081395348837209,107,60
20,sign_bonferroni,0.4666666666666667,0.009433962264150943,0.30523255813953487,106,60
21,sign_lsu,0.8219895287958116,0.2523809523809524,0.9127906976744186,420,60
22,sign_uncorr_0.01,0.8168249660786974,0.2340966921119593,0.875,393,60
23,sign_uncorr_0.05,0.7710280373831776,0.35546875,0.9593023255813954,512,60
24,sign_eff_0.05,0.8085642317380353,0.2866666666666667,0.9331395348837209,450,60
25,sign_eff_0.1,0.8184281842818428,0.233502538071066,0.877906976744186,394,60
26,sign_eff_0.15,0.8114630467571644,0.15673981191222572,0.7819767441860465,319,60
0,sign_holm_bonferroni,0.41203703703703703,0.0,0.2594752186588921,89,60
1,sign_sidak,0.4046511627906977,0.0,0.2536443148688047,87,60
2,sign_bonferroni,0.40093240093240096,0.0,0.25072886297376096,86,60
3,sign_lsu,0.8136645962732919,0.12956810631229235,0.7638483965014577,301,60
4,sign_uncorr_0.01,0.8063492063492064,0.11498257839721254,0.7405247813411079,287,60
5,sign_uncorr_0.05,0.7838179519595448,0.3080357142857143,0.9037900874635568,448,60
6,sign_eff_0.05,0.8263305322128851,0.20485175202156333,0.8600583090379009,371,60
7,sign_eff_0.1,0.7936507936507936,0.1289198606271777,0.7288629737609329,287,60
8,sign_eff_0.15,0.7465277777777778,0.07725321888412018,0.6268221574344023,233,60
9,sign_holm_bonferroni,0.3144963144963145,0.0,0.18658892128279883,64,60
10,sign_sidak,0.3144963144963145,0.0,0.18658892128279883,64,60
11,sign_bonferroni,0.3144963144963145,0.0,0.18658892128279883,64,60
12,sign_lsu,0.6677524429967426,0.24354243542435425,0.597667638483965,271,60
13,sign_uncorr_0.01,0.6733001658374793,0.21923076923076923,0.5918367346938775,260,60
14,sign_uncorr_0.05,0.7076923076923077,0.3684210526315789,0.8046647230320699,437,60
15,sign_eff_0.05,0.7060518731988472,0.301994301994302,0.7142857142857143,351,60
16,sign_eff_0.1,0.6710310965630114,0.23507462686567165,0.597667638483965,268,60
17,sign_eff_0.15,0.6173752310536045,0.15656565656565657,0.4868804664723032,198,60
18,sign_holm_bonferroni,0.3840749414519906,0.023809523809523808,0.239067055393586,84,60
19,sign_sidak,0.38028169014084506,0.024096385542168676,0.23615160349854228,83,60
20,sign_bonferroni,0.38028169014084506,0.024096385542168676,0.23615160349854228,83,60
21,sign_lsu,0.7845934379457917,0.23184357541899442,0.8017492711370262,358,60
22,sign_uncorr_0.01,0.7969924812030075,0.17701863354037267,0.7725947521865889,322,60
23,sign_uncorr_0.05,0.747279322853688,0.3615702479338843,0.9008746355685131,484,60
24,sign_eff_0.05,0.774798927613941,0.28287841191067,0.8425655976676385,403,60
25,sign_eff_0.1,0.7767857142857143,0.2066869300911854,0.760932944606414,329,60
26,sign_eff_0.15,0.7217537942664418,0.144,0.6239067055393586,250,60
0,sign_holm_bonferroni,0.34299516908212563,0.0,0.20699708454810495,71,60
1,sign_sidak,0.3389830508474576,0.0,0.20408163265306123,70,60
2,sign_bonferroni,0.3389830508474576,0.0,0.20408163265306123,70,60
3,sign_lsu,0.764612954186414,0.16551724137931034,0.7055393586005831,290,60
4,sign_uncorr_0.01,0.755700325732899,0.14391143911439114,0.6763848396501457,271,60
5,sign_uncorr_0.05,0.765685019206146,0.317351598173516,0.8717201166180758,438,60
6,sign_eff_0.05,0.7571428571428571,0.25770308123249297,0.7725947521865889,357,60
7,sign_eff_0.1,0.7620578778135049,0.15053763440860216,0.6909620991253644,279,60
8,sign_eff_0.15,0.7304964539007093,0.06787330316742081,0.6005830903790087,221,60
9,sign_holm_bonferroni,0.2892768079800499,0.0,0.16909620991253643,58,60
10,sign_sidak,0.285,0.0,0.1661807580174927,57,60
11,sign_bonferroni,0.285,0.0,0.1661807580174927,57,60
12,sign_lsu,0.7211538461538461,0.199288256227758,0.6559766763848397,281,60
13,sign_uncorr_0.01,0.7103109656301145,0.19029850746268656,0.6326530612244898,268,60
14,sign_uncorr_0.05,0.7428571428571429,0.33021077283372363,0.8338192419825073,427,60
15,sign_eff_0.05,0.7392550143266475,0.27323943661971833,0.7521865889212828,355,60
16,sign_eff_0.1,0.7079934747145188,0.1962962962962963,0.6326530612244898,270,60
17,sign_eff_0.15,0.6581352833638026,0.11764705882352941,0.5247813411078717,204,60
18,sign_holm_bonferroni,0.45045045045045046,0.009900990099009901,0.2915451895043732,101,60
19,sign_sidak,0.4479638009049774,0.0,0.2886297376093295,99,60
20,sign_bonferroni,0.4479638009049774,0.0,0.2886297376093295,99,60
21,sign_lsu,0.789261744966443,0.26865671641791045,0.8571428571428571,402,60
22,sign_uncorr_0.01,0.792507204610951,0.21652421652421652,0.8017492711370262,351,60
23,sign_uncorr_0.05,0.7485242030696576,0.37103174603174605,0.924198250728863,504,60
24,sign_eff_0.05,0.776500638569604,0.3090909090909091,0.8862973760932945,440,60
25,sign_eff_0.1,0.792507204610951,0.21652421652421652,0.8017492711370262,351,60
26,sign_eff_0.15,0.7677419354838709,0.1407942238267148,0.6938775510204082,277,60
0,sign_holm_bonferroni,0.33170731707317075,0.0,0.19883040935672514,68,60
1,sign_sidak,0.3276283618581907,0.0,0.195906432748538,67,60
2,sign_bonferroni,0.3276283618581907,0.0,0.195906432748538,67,60
3,sign_lsu,0.6856127886323268,0.12669683257918551,0.564327485380117,221,60
4,sign_uncorr_0.01,0.6924428822495606,0.13215859030837004,0.5760233918128655,227,60
5,sign_uncorr_0.05,0.7664835164835165,0.2772020725388601,0.8157894736842105,386,60
6,sign_eff_0.05,0.7469512195121951,0.2197452229299363,0.716374269005848,314,60
7,sign_eff_0.1,0.7015706806282722,0.12987012987012986,0.5877192982456141,231,60
8,sign_eff_0.15,0.6218809980806143,0.09497206703910614,0.47368421052631576,179,60
9,sign_holm_bonferroni,0.4845814977973568,0.017857142857142856,0.3216374269005848,112,60
10,sign_sidak,0.4845814977973568,0.017857142857142856,0.3216374269005848,112,60
11,sign_bonferroni,0.48123620309050774,0.018018018018018018,0.31871345029239767,111,60
12,sign_lsu,0.7529411764705882,0.3191489361702128,0.8421052631578947,423,60
13,sign_uncorr_0.01,0.7569832402234636,0.27540106951871657,0.7923976608187134,374,60
14,sign_uncorr_0.05,0.7243367935409458,0.40190476190476193,0.9181286549707602,525,60
15,sign_eff_0.05,0.7329192546583851,0.36285097192224625,0.8625730994152047,463,60
16,sign_eff_0.1,0.7535014005602241,0.2768817204301075,0.7865497076023392,372,60
17,sign_eff_0.15,0.72782874617737,0.23717948717948717,0.695906432748538,312,60
18,sign_holm_bonferroni,0.38317757009345793,0.046511627906976744,0.23976608187134502,86,60
19,sign_sidak,0.3793911007025761,0.047058823529411764,0.23684210526315788,85,60
20,sign_bonferroni,0.3755868544600939,0.047619047619047616,0.23391812865497075,84,60
21,sign_lsu,0.7971830985915493,0.23097826086956522,0.827485380116959,368,60
22,sign_uncorr_0.01,0.799405646359584,0.18731117824773413,0.7865497076023392,331,60
23,sign_uncorr_0.05,0.762589928057554,0.35365853658536583,0.9298245614035088,492,60
24,sign_eff_0.05,0.7973856209150327,0.2789598108747045,0.8918128654970761,423,60
25,sign_eff_0.1,0.7994143484626647,0.19941348973607037,0.7982456140350878,341,60
26,sign_eff_0.15,0.7631578947368421,0.12781954887218044,0.6783625730994152,266,60
0,sign_holm_bonferroni,0.42058165548098436,0.030927835051546393,0.26857142857142857,97,60
1,sign_sidak,0.4170403587443946,0.03125,0.26571428571428574,96,60
2,sign_bonferroni,0.4144144144144144,0.02127659574468085,0.26285714285714284,94,60
3,sign_lsu,0.7456724367509987,0.30174563591022446,0.8,401,60
4,sign_uncorr_0.01,0.7609618104667609,0.24649859943977592,0.7685714285714286,357,60
5,sign_uncorr_0.05,0.7178899082568807,0.4003831417624521,0.8942857142857142,522,60
6,sign_eff_0.05,0.7325,0.3488888888888889,0.8371428571428572,450,60
7,sign_eff_0.1,0.7453769559032717,0.2577903682719547,0.7485714285714286,353,60
8,sign_eff_0.15,0.7321711568938193,0.17793594306049823,0.66,281,60
9,sign_holm_bonferroni,0.3568075117370892,0.0,0.21714285714285714,76,60
10,sign_sidak,0.3568075117370892,0.0,0.21714285714285714,76,60
11,sign_bonferroni,0.35294117647058826,0.0,0.21428571428571427,75,60
12,sign_lsu,0.7675840978593272,0.17434210526315788,0.7171428571428572,304,60
13,sign_uncorr_0.01,0.7570093457943925,0.1678082191780822,0.6942857142857143,292,60
14,sign_uncorr_0.05,0.7659033078880407,0.30963302752293576,0.86,436,60
15,sign_eff_0.05,0.7587168758716876,0.25885558583106266,0.7771428571428571,367,60
16,sign_eff_0.1,0.7386541471048513,0.18339100346020762,0.6742857142857143,289,60
17,sign_eff_0.15,0.6910994764397905,0.11210762331838565,0.5657142857142857,223,60
18,sign_holm_bonferroni,0.34823529411764703,0.013333333333333334,0.21142857142857144,75,60
19,sign_sidak,0.3404255319148936,0.0136986301369863,0.2057142857142857,73,60
20,sign_bonferroni,0.3404255319148936,0.0136986301369863,0.2057142857142857,73,60
21,sign_lsu,0.7737003058103975,0.16776315789473684,0.7228571428571429,304,60
22,sign_uncorr_0.01,0.7706708268330733,0.15120274914089346,0.7057142857142857,291,60
23,sign_uncorr_0.05,0.7875,0.3,0.9,450,60
24,sign_eff_0.05,0.8011049723756906,0.22459893048128343,0.8285714285714286,374,60
25,sign_eff_0.1,0.7701863354037267,0.1564625850340136,0.7085714285714285,294,60
26,sign_eff_0.15,0.7036395147313691,0.10572687224669604,0.58,227,60
0,sign_holm_bonferroni,0.31784841075794623,0.015151515151515152,0.18950437317784258,66,60
1,sign_sidak,0.31784841075794623,0.015151515151515152,0.18950437317784258,66,60
2,sign_bonferroni,0.31784841075794623,0.015151515151515152,0.18950437317784258,66,60
3,sign_lsu,0.7858197932053176,0.20359281437125748,0.7755102040816326,334,60
4,sign_uncorr_0.01,0.7663551401869159,0.17725752508361203,0.717201166180758,299,60
5,sign_uncorr_0.05,0.7578692493946732,0.35196687370600416,0.9125364431486881,483,60
6,sign_eff_0.05,0.7663043478260869,0.2824427480916031,0.8221574344023324,393,60
7,sign_eff_0.1,0.7596899224806202,0.18874172185430463,0.7142857142857143,302,60
8,sign_eff_0.15,0.7169811320754716,0.12916666666666668,0.60932944606414,240,60
9,sign_holm_bonferroni,0.354916067146283,0.0,0.21574344023323616,74,60
10,sign_sidak,0.354916067146283,0.0,0.21574344023323616,74,60
11,sign_bonferroni,0.354916067146283,0.0,0.21574344023323616,74,60
12,sign_lsu,0.7492260061919505,0.20132013201320131,0.7055393586005831,303,60
13,sign_uncorr_0.01,0.7388535031847133,0.18596491228070175,0.6763848396501457,285,60
14,sign_uncorr_0.05,0.7551020408163265,0.3287981859410431,0.8629737609329446,441,60
15,sign_eff_0.05,0.7563739376770539,0.2644628099173554,0.7784256559766763,363,60
16,sign_eff_0.1,0.7365079365079366,0.1916376306620209,0.6763848396501457,287,60
17,sign_eff_0.15,0.7,0.0967741935483871,0.5714285714285714,217,60
18,sign_holm_bonferroni,0.47216035634743875,0.0,0.30903790087463556,106,60
19,sign_sidak,0.47216035634743875,0.0,0.30903790087463556,106,60
20,sign_bonferroni,0.47216035634743875,0.0,0.30903790087463556,106,60
21,sign_lsu,0.7925608011444921,0.22191011235955055,0.8075801749271136,356,60
22,sign_uncorr_0.01,0.7909090909090909,0.17665615141955837,0.760932944606414,317,60
