,corr_method,dice_coeff,sample_size
0,holm_bonferroni,0.6525679758308157,90
1,holm_bonferroni,0.7058823529411765,90
2,holm_bonferroni,0.6109324758842444,90
3,holm_bonferroni,0.6559485530546624,90
4,holm_bonferroni,0.6447368421052632,90
5,holm_bonferroni,0.5714285714285714,90
6,holm_bonferroni,0.631578947368421,90
7,holm_bonferroni,0.7169811320754716,90
8,holm_bonferroni,0.6526315789473685,90
9,holm_bonferroni,0.6385964912280702,90
10,holm_bonferroni,0.6666666666666666,90
11,holm_bonferroni,0.6081081081081081,90
12,holm_bonferroni,0.6533333333333333,90
13,holm_bonferroni,0.6666666666666666,90
14,holm_bonferroni,0.6508474576271186,90
15,holm_bonferroni,0.6,90
16,holm_bonferroni,0.6666666666666666,90
17,holm_bonferroni,0.6464646464646465,90
18,holm_bonferroni,0.6225165562913907,90
19,holm_bonferroni,0.6327272727272727,90
20,sidak,0.6542056074766355,90
21,sidak,0.7014925373134329,90
22,sidak,0.609271523178808,90
23,sidak,0.6601307189542484,90
24,sidak,0.6418918918918919,90
25,sidak,0.5751633986928104,90
26,sidak,0.624113475177305,90
27,sidak,0.7126436781609196,90
28,sidak,0.657243816254417,90
29,sidak,0.65,90
30,sidak,0.6642335766423357,90
31,sidak,0.6068965517241379,90
32,sidak,0.6554054054054054,90
33,sidak,0.6642599277978339,90
34,sidak,0.6484641638225256,90
35,sidak,0.6143344709897611,90
36,sidak,0.6595744680851063,90
37,sidak,0.6416382252559727,90
38,sidak,0.6351351351351351,90
39,sidak,0.6370370370370371,90
40,bonferroni,0.6542056074766355,90
41,bonferroni,0.6966292134831461,90
42,bonferroni,0.6112956810631229,90
43,bonferroni,0.6534653465346535,90
44,bonferroni,0.6418918918918919,90
45,bonferroni,0.5751633986928104,90
46,bonferroni,0.624113475177305,90
47,bonferroni,0.7076923076923077,90
48,bonferroni,0.6571428571428571,90
49,bonferroni,0.65,90
50,bonferroni,0.6666666666666666,90
51,bonferroni,0.6068965517241379,90
52,bonferroni,0.6530612244897959,90
53,bonferroni,0.6642599277978339,90
54,bonferroni,0.6484641638225256,90
55,bonferroni,0.6095890410958904,90
56,bonferroni,0.6619217081850534,90
57,bonferroni,0.6391752577319587,90
58,bonferroni,0.6351351351351351,90
59,bonferroni,0.6319702602230484,90
60,lsu,0.7265047518479408,90
61,lsu,0.7517241379310344,90
62,lsu,0.6583333333333333,90
63,lsu,0.7461706783369803,90
64,lsu,0.7339246119733924,90
65,lsu,0.696329254727475,90
66,lsu,0.713463751438435,90
67,lsu,0.7401197604790419,90
68,lsu,0.7372093023255814,90
69,lsu,0.7220299884659747,90
70,lsu,0.7359116022099448,90
71,lsu,0.6651428571428571,90
72,lsu,0.7255113024757804,90
73,lsu,0.7361111111111112,90
74,lsu,0.7188208616780045,90
75,lsu,0.7347391786903441,90
76,lsu,0.70996640537514,90
77,lsu,0.717366628830874,90
78,lsu,0.683684794672586,90
79,lsu,0.6893424036281179,90
80,uncorr_0.01,0.714792899408284,90
81,uncorr_0.01,0.7277486910994765,90
82,uncorr_0.01,0.6571428571428571,90
83,uncorr_0.01,0.731585518102372,90
84,uncorr_0.01,0.7307206068268015,90
85,uncorr_0.01,0.681704260651629,90
86,uncorr_0.01,0.6917098445595855,90
87,uncorr_0.01,0.7423230974632844,90
88,uncorr_0.01,0.7402597402597403,90
89,uncorr_0.01,0.7037974683544304,90
90,uncorr_0.01,0.7400768245838668,90
91,uncorr_0.01,0.6632522407170295,90
92,uncorr_0.01,0.7364532019704434,90
93,uncorr_0.01,0.7133592736705577,90
94,uncorr_0.01,0.7194968553459119,90
95,uncorr_0.01,0.7137452711223203,90
96,uncorr_0.01,0.7095959595959596,90
97,uncorr_0.01,0.7190721649484536,90
98,uncorr_0.01,0.6847960444993819,90
99,uncorr_0.01,0.675531914893617,90
100,uncorr_0.05,0.7444253859348199,90
101,uncorr_0.05,0.7539170506912443,90
102,uncorr_0.05,0.6999125109361329,90
103,uncorr_0.05,0.7511150758251561,90
104,uncorr_0.05,0.7531760435571688,90
105,uncorr_0.05,0.7316176470588235,90
106,uncorr_0.05,0.7490774907749077,90
107,uncorr_0.05,0.7579737335834896,90
108,uncorr_0.05,0.7472118959107806,90
109,uncorr_0.05,0.7280939476061428,90
110,uncorr_0.05,0.7548209366391184,90
111,uncorr_0.05,0.6629732225300092,90
112,uncorr_0.05,0.7560756075607561,90
113,uncorr_0.05,0.7583025830258303,90
114,uncorr_0.05,0.7490706319702602,90
115,uncorr_0.05,0.7376014427412083,90
116,uncorr_0.05,0.7290909090909091,90
117,uncorr_0.05,0.7548566142460684,90
118,uncorr_0.05,0.7158081705150977,90
119,uncorr_0.05,0.7298050139275766,90
120,eff_0.05,0.7205882352941176,90
121,eff_0.05,0.746606334841629,90
122,eff_0.05,0.6596638655462185,90
123,eff_0.05,0.7398720682302772,90
124,eff_0.05,0.7305122494432071,90
125,eff_0.05,0.6921348314606741,90
126,eff_0.05,0.7115165336374002,90
127,eff_0.05,0.7361111111111112,90
128,eff_0.05,0.7463026166097838,90
129,eff_0.05,0.7100456621004566,90
130,eff_0.05,0.743047830923248,90
131,eff_0.05,0.6704416761041903,90
132,eff_0.05,0.7366167023554604,90
133,eff_0.05,0.7170675830469645,90
134,eff_0.05,0.7266591676040495,90
135,eff_0.05,0.7158351409978309,90
136,eff_0.05,0.7016759776536313,90
137,eff_0.05,0.7246049661399548,90
138,eff_0.05,0.6755260243632336,90
139,eff_0.05,0.7023411371237458,90
140,eff_0.1,0.7024128686327078,90
141,eff_0.1,0.7227138643067846,90
142,eff_0.1,0.6490066225165563,90
143,eff_0.1,0.7308228730822873,90
144,eff_0.1,0.7012987012987013,90
145,eff_0.1,0.6532951289398281,90
146,eff_0.1,0.6814159292035398,90
147,eff_0.1,0.7083969465648855,90
148,eff_0.1,0.6956521739130435,90
149,eff_0.1,0.6919831223628692,90
150,eff_0.1,0.7197640117994101,90
151,eff_0.1,0.6494252873563219,90
152,eff_0.1,0.7222222222222222,90
153,eff_0.1,0.7041847041847041,90
154,eff_0.1,0.6929577464788732,90
155,eff_0.1,0.7146974063400576,90
156,eff_0.1,0.6977401129943502,90
157,eff_0.1,0.7071005917159763,90
158,eff_0.1,0.6786703601108033,90
159,eff_0.1,0.6626323751891074,90
160,eff_0.15,0.6666666666666666,90
161,eff_0.15,0.7173489278752436,90
162,eff_0.15,0.6390328151986183,90
163,eff_0.15,0.7137809187279152,90
164,eff_0.15,0.6792452830188679,90
165,eff_0.15,0.6288848263254113,90
166,eff_0.15,0.6465028355387523,90
167,eff_0.15,0.6940451745379876,90
168,eff_0.15,0.6891385767790262,90
169,eff_0.15,0.6678899082568808,90
170,eff_0.15,0.6994106090373281,90
171,eff_0.15,0.6078799249530957,90
172,eff_0.15,0.6948529411764706,90
173,eff_0.15,0.6873857404021938,90
174,eff_0.15,0.6570397111913358,90
175,eff_0.15,0.660377358490566,90
176,eff_0.15,0.6567717996289425,90
177,eff_0.15,0.6870229007633588,90
178,eff_0.15,0.6394316163410302,90
179,eff_0.15,0.6559356136820925,90
