,corr_method,dice_coeff,sample_size
0,holm_bonferroni,0.600896860986547,70
1,holm_bonferroni,0.5660377358490566,70
2,holm_bonferroni,0.6120218579234973,70
3,holm_bonferroni,0.5676855895196506,70
4,holm_bonferroni,0.543778801843318,70
5,holm_bonferroni,0.5096153846153846,70
6,holm_bonferroni,0.5781990521327014,70
7,holm_bonferroni,0.5841584158415841,70
8,holm_bonferroni,0.6086956521739131,70
9,holm_bonferroni,0.5,70
10,holm_bonferroni,0.592964824120603,70
11,holm_bonferroni,0.6212765957446809,70
12,holm_bonferroni,0.5272727272727272,70
13,holm_bonferroni,0.5825242718446602,70
14,holm_bonferroni,0.5989847715736041,70
15,holm_bonferroni,0.5360824742268041,70
16,holm_bonferroni,0.5603448275862069,70
17,holm_bonferroni,0.5882352941176471,70
18,holm_bonferroni,0.6666666666666666,70
19,holm_bonferroni,0.616822429906542,70
20,sidak,0.6063348416289592,70
21,sidak,0.5550239234449761,70
22,sidak,0.6153846153846154,70
23,sidak,0.5829596412556054,70
24,sidak,0.5446009389671361,70
25,sidak,0.5196078431372549,70
26,sidak,0.5769230769230769,70
27,sidak,0.592964824120603,70
28,sidak,0.6146341463414634,70
29,sidak,0.5053763440860215,70
30,sidak,0.5816326530612245,70
31,sidak,0.6266094420600858,70
32,sidak,0.5253456221198156,70
33,sidak,0.5756097560975609,70
34,sidak,0.5979381443298969,70
35,sidak,0.5368421052631579,70
36,sidak,0.5614035087719298,70
37,sidak,0.593607305936073,70
38,sidak,0.6637554585152838,70
39,sidak,0.6190476190476191,70
40,bonferroni,0.6090909090909091,70
41,bonferroni,0.5576923076923077,70
42,bonferroni,0.6153846153846154,70
43,bonferroni,0.5882352941176471,70
44,bonferroni,0.5471698113207547,70
45,bonferroni,0.5196078431372549,70
46,bonferroni,0.5700483091787439,70
47,bonferroni,0.5959595959595959,70
48,bonferroni,0.6237623762376238,70
49,bonferroni,0.5053763440860215,70
50,bonferroni,0.5846153846153846,70
51,bonferroni,0.6266094420600858,70
52,bonferroni,0.5185185185185185,70
53,bonferroni,0.5784313725490197,70
54,bonferroni,0.6010362694300518,70
55,bonferroni,0.5368421052631579,70
56,bonferroni,0.5575221238938053,70
57,bonferroni,0.593607305936073,70
58,bonferroni,0.6637554585152838,70
59,bonferroni,0.6124401913875598,70
60,lsu,0.6373902132998746,70
61,lsu,0.6515353805073432,70
62,lsu,0.6937669376693767,70
63,lsu,0.5777166437414031,70
64,lsu,0.6444159178433889,70
65,lsu,0.6172185430463576,70
66,lsu,0.6464646464646465,70
67,lsu,0.6390374331550802,70
68,lsu,0.670299727520436,70
69,lsu,0.5649717514124294,70
70,lsu,0.7084468664850136,70
71,lsu,0.671604938271605,70
72,lsu,0.602921646746348,70
73,lsu,0.6088082901554405,70
74,lsu,0.7015558698727016,70
75,lsu,0.6270270270270271,70
76,lsu,0.6555423122765197,70
77,lsu,0.6780487804878049,70
78,lsu,0.6947368421052632,70
79,lsu,0.6783310901749664,70
80,uncorr_0.01,0.6432584269662921,70
81,uncorr_0.01,0.6337817638266069,70
82,uncorr_0.01,0.6893491124260355,70
83,uncorr_0.01,0.5842026825633383,70
84,uncorr_0.01,0.6512301013024602,70
85,uncorr_0.01,0.6194690265486725,70
86,uncorr_0.01,0.6409155937052933,70
87,uncorr_0.01,0.6351550960118169,70
88,uncorr_0.01,0.6736842105263158,70
