,index,dice,fdr,power,count,sample_size
0,sign_holm_bonferroni,0.6036217303822937,0.013157894736842105,0.43478260869565216,152,90
1,sign_sidak,0.5951417004048583,0.013422818791946308,0.4260869565217391,149,90
2,sign_bonferroni,0.5951417004048583,0.013422818791946308,0.4260869565217391,149,90
3,sign_lsu,0.8035043804755945,0.29295154185022027,0.9304347826086956,454,90
4,sign_uncorr_0.01,0.8198924731182796,0.23558897243107768,0.8840579710144928,399,90
5,sign_uncorr_0.05,0.7362637362637363,0.40707964601769914,0.9710144927536232,565,90
6,sign_eff_0.05,0.8004956629491945,0.3008658008658009,0.936231884057971,462,90
7,sign_eff_0.1,0.8260869565217391,0.17391304347826086,0.8260869565217391,345,90
8,sign_eff_0.15,0.7779578606158833,0.11764705882352941,0.6956521739130435,272,90
9,sign_holm_bonferroni,0.6717557251908397,0.01675977653631285,0.5101449275362319,179,90
10,sign_sidak,0.6537717601547389,0.01744186046511628,0.48985507246376814,172,90
11,sign_bonferroni,0.6537717601547389,0.01744186046511628,0.48985507246376814,172,90
12,sign_lsu,0.8042959427207638,0.31643002028397565,0.9768115942028985,493,90
13,sign_uncorr_0.01,0.8343868520859671,0.2600896860986547,0.9565217391304348,446,90
14,sign_uncorr_0.05,0.7272727272727273,0.4276206322795341,0.9971014492753624,601,90
15,sign_eff_0.05,0.8047904191616766,0.3142857142857143,0.9739130434782609,490,90
16,sign_eff_0.1,0.8552278820375335,0.20448877805486285,0.9246376811594202,401,90
17,sign_eff_0.15,0.8524096385542169,0.11285266457680251,0.8202898550724638,319,90
0,sign_holm_bonferroni,0.6257425742574257,0.0,0.4553314121037464,158,90
1,sign_sidak,0.6175298804780877,0.0,0.44668587896253603,155,90
2,sign_bonferroni,0.6175298804780877,0.0,0.44668587896253603,155,90
3,sign_lsu,0.8399014778325123,0.26666666666666666,0.9827089337175793,465,90
4,sign_uncorr_0.01,0.8563899868247694,0.2111650485436893,0.9365994236311239,412,90
5,sign_uncorr_0.05,0.7546754675467546,0.3896797153024911,0.9884726224783862,562,90
6,sign_eff_0.05,0.8384710234278668,0.2672413793103448,0.9798270893371758,464,90
7,sign_eff_0.1,0.8711484593837535,0.15258855585831063,0.8962536023054755,367,90
8,sign_eff_0.15,0.8333333333333334,0.08304498269896193,0.7636887608069164,289,90
9,sign_holm_bonferroni,0.4945770065075922,0.0,0.3285302593659942,114,90
10,sign_sidak,0.49130434782608695,0.0,0.3256484149855908,113,90
11,sign_bonferroni,0.4880174291938998,0.0,0.3227665706051873,112,90
12,sign_lsu,0.8404255319148937,0.21975308641975308,0.9106628242074928,405,90
13,sign_uncorr_0.01,0.8383404864091559,0.16761363636363635,0.8443804034582133,352,90
14,sign_uncorr_0.05,0.7793103448275862,0.35181644359464626,0.9769452449567724,523,90
15,sign_eff_0.05,0.8292046936114733,0.24285714285714285,0.9164265129682997,420,90
16,sign_eff_0.1,0.8328267477203647,0.1189710610932476,0.7896253602305475,311,90
17,sign_eff_0.15,0.7460595446584939,0.049107142857142856,0.6138328530259366,224,90
0,sign_holm_bonferroni,0.5194805194805194,0.0,0.3508771929824561,120,90
1,sign_sidak,0.5098039215686274,0.0,0.34210526315789475,117,90
2,sign_bonferroni,0.5065502183406113,0.0,0.3391812865497076,116,90
3,sign_lsu,0.8085676037483266,0.254320987654321,0.8830409356725146,405,90
4,sign_uncorr_0.01,0.8039492242595204,0.22343324250681199,0.8333333333333334,367,90
5,sign_uncorr_0.05,0.7667057444314185,0.36007827788649704,0.956140350877193,511,90
6,sign_eff_0.05,0.8015768725361366,0.2720763723150358,0.8918128654970761,419,90
7,sign_eff_0.1,0.7982062780269058,0.1834862385321101,0.7807017543859649,327,90
8,sign_eff_0.15,0.757679180887372,0.09016393442622951,0.6491228070175439,244,90
9,sign_holm_bonferroni,0.7054409005628518,0.015706806282722512,0.5497076023391813,191,90
10,sign_sidak,0.6907020872865275,0.016216216216216217,0.5321637426900585,185,90
11,sign_bonferroni,0.6907020872865275,0.016216216216216217,0.5321637426900585,185,90
12,sign_lsu,0.7447045707915273,0.3981981981981982,0.9766081871345029,555,90
13,sign_uncorr_0.01,0.7975460122699386,0.3128964059196617,0.9502923976608187,473,90
14,sign_uncorr_0.05,0.6981519507186859,0.4620253164556962,0.9941520467836257,632,90
15,sign_eff_0.05,0.7588571428571429,0.3771106941838649,0.9707602339181286,533,90
16,sign_eff_0.1,0.8207792207792208,0.2616822429906542,0.9239766081871345,428,90
17,sign_eff_0.15,0.8301329394387001,0.16119402985074627,0.8216374269005848,335,90
0,sign_holm_bonferroni,0.6496062992125984,0.011976047904191617,0.4838709677419355,167,90
1,sign_sidak,0.6388888888888888,0.012269938650306749,0.47214076246334313,163,90
2,sign_bonferroni,0.6361829025844931,0.012345679012345678,0.46920821114369504,162,90
3,sign_lsu,0.7927710843373494,0.32719836400818,0.9648093841642229,489,90
4,sign_uncorr_0.01,0.825065274151436,0.2564705882352941,0.9266862170087976,425,90
5,sign_uncorr_0.05,0.7194860813704497,0.433389544688027,0.9853372434017595,593,90
6,sign_eff_0.05,0.7894736842105263,0.3333333333333333,0.967741935483871,495,90
7,sign_eff_0.1,0.8476454293628809,0.1968503937007874,0.8973607038123167,381,90
8,sign_eff_0.15,0.821875,0.12040133779264214,0.7712609970674487,299,90
9,sign_holm_bonferroni,0.5896907216494846,0.006944444444444444,0.41935483870967744,144,90
10,sign_sidak,0.5867768595041323,0.006993006993006993,0.41642228739002934,143,90
11,sign_bonferroni,0.5809128630705395,0.0070921985815602835,0.41055718475073316,141,90
12,sign_lsu,0.8328981723237598,0.24941176470588236,0.9354838709677419,425,90
13,sign_uncorr_0.01,0.8507670850767085,0.18882978723404256,0.8944281524926686,376,90
14,sign_uncorr_0.05,0.7686996547756041,0.36742424242424243,0.9794721407624634,528,90
15,sign_eff_0.05,0.8239795918367347,0.2708803611738149,0.9472140762463344,443,90
16,sign_eff_0.1,0.8596750369276218,0.13392857142857142,0.8533724340175953,336,90
17,sign_eff_0.15,0.8289473684210527,0.056179775280898875,0.7390029325513197,267,90
0,sign_holm_bonferroni,0.6056910569105691,0.0,0.43440233236151604,149,90
1,sign_sidak,0.6,0.0,0.42857142857142855,147,90
2,sign_bonferroni,0.6,0.0,0.42857142857142855,147,90
3,sign_lsu,0.8251928020565553,0.2620689655172414,0.9358600583090378,435,90
4,sign_uncorr_0.01,0.8458390177353342,0.20512820512820512,0.9037900874635568,390,90
5,sign_uncorr_0.05,0.7681818181818182,0.37057728119180633,0.9854227405247813,537,90
6,sign_eff_0.05,0.8254777070063695,0.2669683257918552,0.9446064139941691,442,90
7,sign_eff_0.1,0.8387096774193549,0.15634218289085547,0.8338192419825073,339,90
