,index,dice,fdr,power,count,sample_size
0,sign_holm_bonferroni,0.045454545454545456,0.1111111111111111,0.023323615160349854,9,20
1,sign_sidak,0.05099150141643059,0.1,0.026239067055393587,10,20
2,sign_bonferroni,0.045454545454545456,0.1111111111111111,0.023323615160349854,9,20
3,sign_lsu,0.16,0.0625,0.08746355685131195,32,20
4,sign_uncorr_0.01,0.3830734966592428,0.18867924528301888,0.25072886297376096,106,20
5,sign_uncorr_0.05,0.5635179153094463,0.36162361623616235,0.5043731778425656,271,20
6,sign_eff_0.05,0.5636942675159236,0.37894736842105264,0.5160349854227405,285,20
7,sign_eff_0.1,0.5244755244755245,0.34497816593886466,0.43731778425655976,229,20
8,sign_eff_0.15,0.4915572232645403,0.3105263157894737,0.3819241982507289,190,20
9,sign_holm_bonferroni,0.0,0.0,0.0,0,20
10,sign_sidak,0.0,0.0,0.0,0,20
11,sign_bonferroni,0.0,0.0,0.0,0,20
12,sign_lsu,0.0,0.0,0.0,0,20
13,sign_uncorr_0.01,0.20865139949109415,0.18,0.119533527696793,50,20
14,sign_uncorr_0.05,0.450199203187251,0.2893081761006289,0.3294460641399417,159,20
15,sign_eff_0.05,0.45792563600782776,0.30357142857142855,0.34110787172011664,168,20
16,sign_eff_0.1,0.4033970276008493,0.2578125,0.27696793002915454,128,20
17,sign_eff_0.15,0.35555555555555557,0.2523364485981308,0.23323615160349853,107,20
18,sign_holm_bonferroni,0.011594202898550725,0.0,0.0058309037900874635,2,20
19,sign_sidak,0.011594202898550725,0.0,0.0058309037900874635,2,20
20,sign_bonferroni,0.011594202898550725,0.0,0.0058309037900874635,2,20
21,sign_lsu,0.19321148825065274,0.075,0.10787172011661808,40,20
22,sign_uncorr_0.01,0.3851203501094092,0.22807017543859648,0.2565597667638484,114,20
23,sign_uncorr_0.05,0.5746031746031746,0.3693379790940767,0.5276967930029155,287,20
24,sign_eff_0.05,0.5876923076923077,0.3778501628664495,0.5568513119533528,307,20
25,sign_eff_0.1,0.5561139028475712,0.3464566929133858,0.4839650145772595,254,20
26,sign_eff_0.15,0.5054545454545455,0.3285024154589372,0.40524781341107874,207,20
27,sign_holm_bonferroni,0.034383954154727794,0.0,0.01749271137026239,6,20
28,sign_sidak,0.034383954154727794,0.0,0.01749271137026239,6,20
29,sign_bonferroni,0.034383954154727794,0.0,0.01749271137026239,6,20
30,sign_lsu,0.29539951573849876,0.12857142857142856,0.17784256559766765,70,20
31,sign_uncorr_0.01,0.4713375796178344,0.1328125,0.3236151603498542,128,20
32,sign_uncorr_0.05,0.6264274061990212,0.28888888888888886,0.5597667638483965,270,20
33,sign_eff_0.05,0.6471544715447154,0.26838235294117646,0.5801749271137027,272,20
34,sign_eff_0.1,0.6115992970123023,0.23008849557522124,0.5072886297376094,226,20
35,sign_eff_0.15,0.5597014925373134,0.22279792746113988,0.43731778425655976,193,20
36,sign_holm_bonferroni,0.005813953488372093,0.0,0.0029154518950437317,1,20
37,sign_sidak,0.005813953488372093,0.0,0.0029154518950437317,1,20
38,sign_bonferroni,0.005813953488372093,0.0,0.0029154518950437317,1,20
39,sign_lsu,0.08913649025069638,0.0,0.04664723032069971,16,20
40,sign_uncorr_0.01,0.3640552995391705,0.13186813186813187,0.2303206997084548,91,20
41,sign_uncorr_0.05,0.5616438356164384,0.31950207468879666,0.478134110787172,241,20
42,sign_eff_0.05,0.5742904841402338,0.328125,0.5014577259475219,256,20
43,sign_eff_0.1,0.5605786618444847,0.2619047619047619,0.4518950437317784,210,20
44,sign_eff_0.15,0.5214007782101168,0.21637426900584794,0.39067055393586003,171,20
45,sign_holm_bonferroni,0.02865329512893983,0.16666666666666666,0.014577259475218658,6,20
46,sign_sidak,0.02865329512893983,0.16666666666666666,0.014577259475218658,6,20
47,sign_bonferroni,0.02865329512893983,0.16666666666666666,0.014577259475218658,6,20
48,sign_lsu,0.2682926829268293,0.1791044776119403,0.16034985422740525,67,20
49,sign_uncorr_0.01,0.3644251626898048,0.288135593220339,0.24489795918367346,118,20
50,sign_uncorr_0.05,0.5067567567567568,0.39759036144578314,0.43731778425655976,249,20
51,sign_eff_0.05,0.5227272727272727,0.41025641025641024,0.46938775510204084,273,20
52,sign_eff_0.1,0.5026178010471204,0.3739130434782609,0.4198250728862974,230,20
53,sign_eff_0.15,0.4747663551401869,0.3385416666666667,0.37026239067055394,192,20
54,sign_holm_bonferroni,0.056657223796033995,0.0,0.029154518950437316,10,20
55,sign_sidak,0.056657223796033995,0.0,0.029154518950437316,10,20
56,sign_bonferroni,0.05113636363636364,0.0,0.026239067055393587,9,20
57,sign_lsu,0.1741424802110818,0.08333333333333333,0.09620991253644315,36,20
58,sign_uncorr_0.01,0.3356643356643357,0.16279069767441862,0.2099125364431487,86,20
59,sign_uncorr_0.05,0.55,0.2903225806451613,0.4489795918367347,217,20
60,sign_eff_0.05,0.5377855887521968,0.3230088495575221,0.446064139941691,226,20
61,sign_eff_0.1,0.5019011406844106,0.2786885245901639,0.3848396501457726,183,20
62,sign_eff_0.15,0.45267489711934156,0.23076923076923078,0.3206997084548105,143,20
63,sign_holm_bonferroni,0.011594202898550725,0.0,0.0058309037900874635,2,20
64,sign_sidak,0.011594202898550725,0.0,0.0058309037900874635,2,20
65,sign_bonferroni,0.011594202898550725,0.0,0.0058309037900874635,2,20
66,sign_lsu,0.42081447963800905,0.06060606060606061,0.27113702623906705,99,20
67,sign_uncorr_0.01,0.5203252032520326,0.14093959731543623,0.37317784256559766,149,20
68,sign_uncorr_0.05,0.6625954198473283,0.30448717948717946,0.6326530612244898,312,20
69,sign_eff_0.05,0.6736842105263158,0.30434782608695654,0.6530612244897959,322,20
70,sign_eff_0.1,0.6634460547504025,0.2589928057553957,0.6005830903790087,278,20
71,sign_eff_0.15,0.6357388316151202,0.22594142259414227,0.5393586005830904,239,20
72,sign_holm_bonferroni,0.034383954154727794,0.0,0.01749271137026239,6,20
73,sign_sidak,0.034383954154727794,0.0,0.01749271137026239,6,20
74,sign_bonferroni,0.034383954154727794,0.0,0.01749271137026239,6,20
75,sign_lsu,0.33890214797136037,0.06578947368421052,0.20699708454810495,76,20
76,sign_uncorr_0.01,0.4854771784232365,0.15827338129496402,0.34110787172011664,139,20
77,sign_uncorr_0.05,0.6551181102362205,0.2876712328767123,0.6064139941690962,292,20
78,sign_eff_0.05,0.6697388632872504,0.2922077922077922,0.6355685131195336,308,20
79,sign_eff_0.1,0.6499162479061976,0.23622047244094488,0.565597667638484,254,20
80,sign_eff_0.15,0.608540925266904,0.2191780821917808,0.49854227405247814,219,20
0,sign_holm_bonferroni,0.04,0.125,0.02046783625730994,8,20
1,sign_sidak,0.04,0.125,0.02046783625730994,8,20
2,sign_bonferroni,0.04,0.125,0.02046783625730994,8,20
3,sign_lsu,0.33653846153846156,0.05405405405405406,0.2046783625730994,74,20
4,sign_uncorr_0.01,0.48187633262260127,0.11023622047244094,0.3304093567251462,127,20
5,sign_uncorr_0.05,0.6409017713365539,0.2867383512544803,0.5818713450292398,279,20
6,sign_eff_0.05,0.6509433962264151,0.29591836734693877,0.6052631578947368,294,20
7,sign_eff_0.1,0.6305084745762712,0.25,0.543859649122807,248,20
8,sign_eff_0.15,0.5875912408759124,0.21844660194174756,0.47076023391812866,206,20
9,sign_holm_bonferroni,0.0,0.0,0.0,0,20
10,sign_sidak,0.0,0.0,0.0,0,20
11,sign_bonferroni,0.0,0.0,0.0,0,20
12,sign_lsu,0.0,0.0,0.0,0,20
13,sign_uncorr_0.01,0.20155038759689922,0.13333333333333333,0.11403508771929824,45,20
14,sign_uncorr_0.05,0.42677824267782427,0.25,0.2982456140350877,136,20
15,sign_eff_0.05,0.4444444444444444,0.28104575163398693,0.3216374269005848,153,20
16,sign_eff_0.1,0.40086206896551724,0.23770491803278687,0.2719298245614035,122,20
17,sign_eff_0.15,0.3424657534246575,0.21875,0.21929824561403508,96,20
18,sign_holm_bonferroni,0.023121387283236993,0.0,0.011695906432748537,4,20
19,sign_sidak,0.023121387283236993,0.0,0.011695906432748537,4,20
20,sign_bonferroni,0.023121387283236993,0.0,0.011695906432748537,4,20
21,sign_lsu,0.26433915211970077,0.1016949152542373,0.15497076023391812,59,20
22,sign_uncorr_0.01,0.4562899786780384,0.15748031496062992,0.3128654970760234,127,20
23,sign_uncorr_0.05,0.6016528925619835,0.30798479087452474,0.5321637426900585,263,20
24,sign_eff_0.05,0.6126418152350082,0.31272727272727274,0.5526315789473685,275,20
25,sign_eff_0.1,0.5898778359511344,0.2683982683982684,0.49415204678362573,231,20
26,sign_eff_0.15,0.5698529411764706,0.23267326732673269,0.45321637426900585,202,20
27,sign_holm_bonferroni,0.05128205128205128,0.0,0.02631578947368421,9,20
28,sign_sidak,0.05128205128205128,0.0,0.02631578947368421,9,20
29,sign_bonferroni,0.05128205128205128,0.0,0.02631578947368421,9,20
30,sign_lsu,0.61101243339254,0.22171945701357465,0.5029239766081871,221,20
31,sign_uncorr_0.01,0.6306620209059234,0.21982758620689655,0.5292397660818714,232,20
32,sign_uncorr_0.05,0.6945945945945946,0.3542713567839196,0.7514619883040936,398,20
33,sign_eff_0.05,0.6942590120160214,0.36117936117936117,0.7602339181286549,407,20
34,sign_eff_0.1,0.6848920863309352,0.32577903682719545,0.695906432748538,353,20
35,sign_eff_0.15,0.6842105263157895,0.2730263157894737,0.6461988304093568,304,20
36,sign_holm_bonferroni,0.0058309037900874635,0.0,0.0029239766081871343,1,20
37,sign_sidak,0.0058309037900874635,0.0,0.0029239766081871343,1,20
38,sign_bonferroni,0.0058309037900874635,0.0,0.0029239766081871343,1,20
39,sign_lsu,0.0058309037900874635,0.0,0.0029239766081871343,1,20
40,sign_uncorr_0.01,0.26066350710900477,0.3125,0.1608187134502924,80,20
41,sign_uncorr_0.05,0.5417376490630323,0.3510204081632653,0.4649122807017544,245,20
