,corr_method,dice_coeff,sample_size
0,holm_bonferroni,0.5106382978723404,60
1,holm_bonferroni,0.5644171779141104,60
2,holm_bonferroni,0.5217391304347826,60
3,holm_bonferroni,0.4727272727272727,60
4,holm_bonferroni,0.5675675675675675,60
5,holm_bonferroni,0.5645933014354066,60
6,holm_bonferroni,0.4496124031007752,60
7,holm_bonferroni,0.5082872928176796,60
8,holm_bonferroni,0.5783132530120482,60
9,holm_bonferroni,0.5490196078431373,60
10,holm_bonferroni,0.5549132947976878,60
11,holm_bonferroni,0.5540540540540541,60
12,holm_bonferroni,0.5426356589147286,60
13,holm_bonferroni,0.5348837209302325,60
14,holm_bonferroni,0.5283018867924528,60
15,holm_bonferroni,0.4777777777777778,60
16,holm_bonferroni,0.5194805194805194,60
17,holm_bonferroni,0.5555555555555556,60
18,holm_bonferroni,0.47398843930635837,60
19,holm_bonferroni,0.5348837209302325,60
20,holm_bonferroni,0.5960264900662252,60
21,holm_bonferroni,0.4857142857142857,60
22,holm_bonferroni,0.5232558139534884,60
23,holm_bonferroni,0.5666666666666667,60
24,holm_bonferroni,0.56,60
25,holm_bonferroni,0.5477707006369427,60
26,holm_bonferroni,0.611764705882353,60
27,holm_bonferroni,0.5217391304347826,60
28,holm_bonferroni,0.5853658536585366,60
29,holm_bonferroni,0.4720496894409938,60
30,holm_bonferroni,0.4460431654676259,60
31,holm_bonferroni,0.6081871345029239,60
32,holm_bonferroni,0.5492957746478874,60
33,holm_bonferroni,0.5769230769230769,60
34,holm_bonferroni,0.53125,60
35,holm_bonferroni,0.5223880597014925,60
36,holm_bonferroni,0.55,60
37,holm_bonferroni,0.6024096385542169,60
38,holm_bonferroni,0.5604395604395604,60
39,holm_bonferroni,0.5521472392638037,60
40,holm_bonferroni,0.5053763440860215,60
41,holm_bonferroni,0.5513513513513514,60
42,holm_bonferroni,0.5277777777777778,60
43,holm_bonferroni,0.5483870967741935,60
44,holm_bonferroni,0.5339805825242718,60
45,holm_bonferroni,0.5413533834586466,60
46,holm_bonferroni,0.625,60
47,holm_bonferroni,0.5882352941176471,60
48,holm_bonferroni,0.5271317829457365,60
49,holm_bonferroni,0.5111111111111111,60
50,holm_bonferroni,0.5573770491803278,60
51,holm_bonferroni,0.5146198830409356,60
52,holm_bonferroni,0.546583850931677,60
53,holm_bonferroni,0.5816326530612245,60
54,holm_bonferroni,0.5578231292517006,60
55,holm_bonferroni,0.5662650602409639,60
56,holm_bonferroni,0.6068965517241379,60
57,holm_bonferroni,0.524822695035461,60
58,holm_bonferroni,0.4805194805194805,60
59,holm_bonferroni,0.5575757575757576,60
60,sidak,0.5081081081081081,60
61,sidak,0.5644171779141104,60
62,sidak,0.5316455696202531,60
63,sidak,0.4662576687116564,60
64,sidak,0.5675675675675675,60
65,sidak,0.5507246376811594,60
66,sidak,0.453125,60
67,sidak,0.5056179775280899,60
68,sidak,0.573170731707317,60
69,sidak,0.543046357615894,60
70,sidak,0.5647058823529412,60
71,sidak,0.5578231292517006,60
72,sidak,0.5511811023622047,60
73,sidak,0.5325443786982249,60
74,sidak,0.5256410256410257,60
75,sidak,0.48044692737430167,60
76,sidak,0.5131578947368421,60
77,sidak,0.5482233502538071,60
78,sidak,0.47674418604651164,60
79,sidak,0.5325443786982249,60
80,sidak,0.6040268456375839,60
81,sidak,0.4857142857142857,60
82,sidak,0.5232558139534884,60
83,sidak,0.5666666666666667,60
84,sidak,0.56,60
85,sidak,0.5512820512820513,60
86,sidak,0.6153846153846154,60
87,sidak,0.5217391304347826,60
88,sidak,0.5853658536585366,60
89,sidak,0.4720496894409938,60
90,sidak,0.4492753623188406,60
91,sidak,0.6035502958579881,60
92,sidak,0.5531914893617021,60
93,sidak,0.567741935483871,60
94,sidak,0.5354330708661418,60
95,sidak,0.5223880597014925,60
96,sidak,0.5408805031446541,60
97,sidak,0.6060606060606061,60
98,sidak,0.5666666666666667,60
99,sidak,0.5521472392638037,60
100,sidak,0.4972972972972973,60
101,sidak,0.5434782608695652,60
102,sidak,0.5277777777777778,60
103,sidak,0.5555555555555556,60
104,sidak,0.53,60
105,sidak,0.515625,60
106,sidak,0.6064516129032258,60
107,sidak,0.5960264900662252,60
108,sidak,0.5271317829457365,60
109,sidak,0.5113636363636364,60
110,sidak,0.5698324022346368,60
111,sidak,0.5207100591715976,60
112,sidak,0.5375,60
113,sidak,0.5906735751295337,60
114,sidak,0.5655172413793104,60
115,sidak,0.5575757575757576,60
116,sidak,0.6111111111111112,60
117,sidak,0.5285714285714286,60
118,sidak,0.4805194805194805,60
119,sidak,0.5609756097560976,60
120,bonferroni,0.5108695652173914,60
121,bonferroni,0.5679012345679012,60
122,bonferroni,0.5316455696202531,60
123,bonferroni,0.4720496894409938,60
124,bonferroni,0.5675675675675675,60
125,bonferroni,0.5365853658536586,60
126,bonferroni,0.453125,60
127,bonferroni,0.5084745762711864,60
128,bonferroni,0.5644171779141104,60
129,bonferroni,0.5466666666666666,60
130,bonferroni,0.5680473372781065,60
131,bonferroni,0.5578231292517006,60
132,bonferroni,0.5511811023622047,60
133,bonferroni,0.5325443786982249,60
134,bonferroni,0.5256410256410257,60
135,bonferroni,0.47191011235955055,60
136,bonferroni,0.5165562913907285,60
137,bonferroni,0.5435897435897435,60
138,bonferroni,0.47337278106508873,60
139,bonferroni,0.5389221556886228,60
140,bonferroni,0.5945945945945946,60
141,bonferroni,0.4857142857142857,60
142,bonferroni,0.5232558139534884,60
143,bonferroni,0.5666666666666667,60
144,bonferroni,0.5483870967741935,60
145,bonferroni,0.5419354838709678,60
146,bonferroni,0.6153846153846154,60
147,bonferroni,0.5217391304347826,60
148,bonferroni,0.5853658536585366,60
149,bonferroni,0.4720496894409938,60
150,bonferroni,0.43795620437956206,60
151,bonferroni,0.5952380952380952,60
152,bonferroni,0.5323741007194245,60
153,bonferroni,0.5526315789473685,60
154,bonferroni,0.5396825396825397,60
155,bonferroni,0.5151515151515151,60
156,bonferroni,0.5443037974683544,60
157,bonferroni,0.6012269938650306,60
158,bonferroni,0.5698324022346368,60
159,bonferroni,0.5590062111801242,60
