,index,dice,fdr,power,count,sample_size
0,sign_holm_bonferroni,0.19270833333333334,0.05128205128205128,0.1072463768115942,39,35
1,sign_sidak,0.19270833333333334,0.05128205128205128,0.1072463768115942,39,35
2,sign_bonferroni,0.19270833333333334,0.05128205128205128,0.1072463768115942,39,35
3,sign_lsu,0.6411657559198543,0.13725490196078433,0.5101449275362319,204,35
4,sign_uncorr_0.01,0.6546762589928058,0.13744075829383887,0.527536231884058,211,35
5,sign_uncorr_0.05,0.7287899860917941,0.2994652406417112,0.7594202898550725,374,35
6,sign_eff_0.05,0.724087591240876,0.27058823529411763,0.7188405797101449,340,35
7,sign_eff_0.1,0.7232,0.19285714285714287,0.6550724637681159,280,35
8,sign_eff_0.15,0.6701754385964912,0.1511111111111111,0.553623188405797,225,35
9,sign_holm_bonferroni,0.18324607329842932,0.05405405405405406,0.10144927536231885,37,35
10,sign_sidak,0.18324607329842932,0.05405405405405406,0.10144927536231885,37,35
11,sign_bonferroni,0.18324607329842932,0.05405405405405406,0.10144927536231885,37,35
12,sign_lsu,0.6644067796610169,0.2,0.5681159420289855,245,35
13,sign_uncorr_0.01,0.6666666666666666,0.1934156378600823,0.5681159420289855,243,35
14,sign_uncorr_0.05,0.6870026525198939,0.36674816625916873,0.7507246376811594,409,35
15,sign_eff_0.05,0.686030428769018,0.3439153439153439,0.7188405797101449,378,35
16,sign_eff_0.1,0.6932515337423313,0.26384364820846906,0.6550724637681159,307,35
17,sign_eff_0.15,0.6666666666666666,0.21568627450980393,0.5797101449275363,255,35
18,sign_holm_bonferroni,0.022922636103151862,0.0,0.011594202898550725,4,35
19,sign_sidak,0.022922636103151862,0.0,0.011594202898550725,4,35
20,sign_bonferroni,0.022922636103151862,0.0,0.011594202898550725,4,35
21,sign_lsu,0.27184466019417475,0.16417910447761194,0.16231884057971013,67,35
22,sign_uncorr_0.01,0.4472573839662447,0.17829457364341086,0.3072463768115942,129,35
23,sign_uncorr_0.05,0.5741324921135647,0.370242214532872,0.527536231884058,289,35
24,sign_eff_0.05,0.5472636815920398,0.36046511627906974,0.4782608695652174,258,35
25,sign_eff_0.1,0.5328467153284672,0.28078817733990147,0.42318840579710143,203,35
26,sign_eff_0.15,0.46184738955823296,0.24836601307189543,0.3333333333333333,153,35
27,sign_holm_bonferroni,0.16445623342175067,0.03125,0.08985507246376812,32,35
28,sign_sidak,0.16445623342175067,0.03125,0.08985507246376812,32,35
29,sign_bonferroni,0.16445623342175067,0.03125,0.08985507246376812,32,35
30,sign_lsu,0.46652267818574517,0.0847457627118644,0.3130434782608696,118,35
31,sign_uncorr_0.01,0.5183673469387755,0.12413793103448276,0.3681159420289855,145,35
32,sign_uncorr_0.05,0.6527331189710611,0.26714801444043323,0.5884057971014492,277,35
33,sign_eff_0.05,0.6397306397306397,0.23694779116465864,0.5507246376811594,249,35
34,sign_eff_0.1,0.569811320754717,0.1837837837837838,0.43768115942028984,185,35
35,sign_eff_0.15,0.5252525252525253,0.13333333333333333,0.37681159420289856,150,35
36,sign_holm_bonferroni,0.15466666666666667,0.03333333333333333,0.08405797101449275,30,35
37,sign_sidak,0.15466666666666667,0.03333333333333333,0.08405797101449275,30,35
38,sign_bonferroni,0.1497326203208556,0.034482758620689655,0.08115942028985507,29,35
39,sign_lsu,0.6414414414414414,0.1523809523809524,0.5159420289855072,210,35
40,sign_uncorr_0.01,0.6513274336283186,0.16363636363636364,0.5333333333333333,220,35
41,sign_uncorr_0.05,0.7187079407806191,0.32914572864321606,0.7739130434782608,398,35
42,sign_eff_0.05,0.7065527065527065,0.30532212885154064,0.7188405797101449,357,35
43,sign_eff_0.1,0.7008,0.21785714285714286,0.6347826086956522,280,35
44,sign_eff_0.15,0.658493870402802,0.168141592920354,0.5449275362318841,226,35
0,sign_holm_bonferroni,0.11924119241192412,0.0,0.06340057636887608,22,35
1,sign_sidak,0.11924119241192412,0.0,0.06340057636887608,22,35
2,sign_bonferroni,0.11924119241192412,0.0,0.06340057636887608,22,35
3,sign_lsu,0.5269461077844312,0.14285714285714285,0.3804034582132565,154,35
4,sign_uncorr_0.01,0.5616698292220114,0.17777777777777778,0.4265129682997118,180,35
5,sign_uncorr_0.05,0.662704309063893,0.3159509202453988,0.6426512968299711,326,35
6,sign_eff_0.05,0.6574923547400612,0.2996742671009772,0.6195965417867435,307,35
7,sign_eff_0.1,0.6058519793459552,0.24786324786324787,0.5072046109510087,234,35
8,sign_eff_0.15,0.5519848771266541,0.1978021978021978,0.4207492795389049,182,35
9,sign_holm_bonferroni,0.164021164021164,0.0,0.0893371757925072,31,35
10,sign_sidak,0.164021164021164,0.0,0.0893371757925072,31,35
11,sign_bonferroni,0.164021164021164,0.0,0.0893371757925072,31,35
12,sign_lsu,0.6317757009345795,0.10106382978723404,0.48703170028818443,188,35
13,sign_uncorr_0.01,0.6557971014492754,0.11707317073170732,0.521613832853026,205,35
14,sign_uncorr_0.05,0.7453769559032717,0.2640449438202247,0.7550432276657061,356,35
15,sign_eff_0.05,0.7204783258594918,0.2515527950310559,0.6945244956772334,322,35
16,sign_eff_0.1,0.6877076411960132,0.18823529411764706,0.5965417867435159,255,35
