,sign_holm_bonferroni,sign_sidak,sign_bonferroni,sign_lsu,sign_uncorr_0.01,sign_uncorr_0.05,sign_eff_0.05,sign_eff_0.1,sign_eff_0.15,chan_pair,band
0,0.0,0.0,0.0,0.02,0.02,0.08,0.12,0.06000000000000001,0.02,F3/F4,delta
1,0.0,0.0,0.0,0.02,0.04,0.1,0.08,0.06000000000000001,0.06000000000000001,C3/P4,delta
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F7/F4,delta
3,0.0,0.0,0.0,0.4,0.42000000000000004,0.74,0.72,0.6799999999999999,0.5199999999999999,F3/C3,delta
4,0.04,0.04,0.04,0.36,0.38,0.5799999999999998,0.54,0.5,0.36,Fp1/T3,delta
5,0.0,0.0,0.0,0.08,0.08,0.16,0.16,0.12,0.1,F3/P3,delta
6,0.0,0.0,0.0,0.06000000000000001,0.1,0.15999999999999998,0.15999999999999998,0.12,0.1,Cz/P4,delta
7,0.0,0.0,0.0,0.04,0.06000000000000001,0.18,0.18,0.13999999999999999,0.08,F3/C4,delta
8,0.0,0.0,0.0,0.02,0.02,0.15999999999999998,0.15999999999999998,0.04,0.02,Cz/P3,delta
9,0.0,0.0,0.0,0.06000000000000001,0.06000000000000001,0.18,0.18,0.12,0.08,C4/T6,delta
10,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,F8/C3,delta
11,0.0,0.0,0.0,0.04,0.06000000000000001,0.22000000000000003,0.19999999999999998,0.15999999999999998,0.1,Fp1/F7,delta
12,0.0,0.0,0.0,0.04,0.1,0.26,0.24,0.18,0.13999999999999999,T3/C3,delta
13,0.0,0.0,0.0,0.02,0.02,0.08,0.08,0.02,0.02,T5/T6,delta
14,0.0,0.0,0.0,0.0,0.02,0.12,0.12,0.1,0.02,T6/O2,delta
15,0.0,0.0,0.0,0.12,0.15999999999999998,0.32,0.24,0.19999999999999998,0.13999999999999999,Fz/F4,delta
16,0.0,0.0,0.0,0.5399999999999999,0.6199999999999999,0.9,0.9,0.82,0.74,Fp1/F3,delta
17,0.0,0.0,0.0,0.0,0.0,0.06000000000000001,0.06000000000000001,0.04,0.02,F3/T4,delta
18,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,Cz/C4,delta
19,0.0,0.0,0.0,0.02,0.02,0.12,0.1,0.08,0.06000000000000001,C4/O1,delta
20,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.0,Fp2/F8,delta
21,0.0,0.0,0.0,0.04,0.04,0.16,0.08,0.08,0.04,F7/Cz,delta
22,0.0,0.0,0.0,0.02,0.02,0.12,0.12,0.06000000000000001,0.04,F3/P4,delta
23,0.0,0.0,0.0,0.06000000000000001,0.06000000000000001,0.24,0.26000000000000006,0.15999999999999998,0.13999999999999999,P4/O1,delta
