,corr_method,dice_coeff,sample_size
0,holm_bonferroni,0.0,20
1,holm_bonferroni,0.6,20
2,holm_bonferroni,0.0,20
3,holm_bonferroni,0.13333333333333333,20
4,holm_bonferroni,0.0,20
5,holm_bonferroni,0.3333333333333333,20
6,holm_bonferroni,0.0,20
7,holm_bonferroni,0.18181818181818182,20
8,holm_bonferroni,0.0,20
9,holm_bonferroni,0.0,20
10,holm_bonferroni,0.0,20
11,holm_bonferroni,0.0,20
12,holm_bonferroni,0.0,20
13,holm_bonferroni,,20
14,holm_bonferroni,0.0,20
15,holm_bonferroni,0.0,20
16,holm_bonferroni,0.15384615384615385,20
17,holm_bonferroni,0.0,20
18,holm_bonferroni,0.4,20
19,holm_bonferroni,0.0,20
20,holm_bonferroni,0.0,20
21,holm_bonferroni,0.18181818181818182,20
22,holm_bonferroni,0.0,20
23,holm_bonferroni,0.0,20
24,holm_bonferroni,0.0,20
25,holm_bonferroni,0.0,20
26,holm_bonferroni,0.18181818181818182,20
27,holm_bonferroni,0.0,20
28,holm_bonferroni,0.0,20
29,holm_bonferroni,0.14285714285714285,20
30,holm_bonferroni,0.0,20
31,holm_bonferroni,0.0,20
32,holm_bonferroni,0.0,20
33,holm_bonferroni,0.0,20
34,holm_bonferroni,0.0,20
35,holm_bonferroni,0.0,20
36,holm_bonferroni,0.13333333333333333,20
37,holm_bonferroni,0.0,20
38,holm_bonferroni,0.0,20
39,holm_bonferroni,0.11764705882352941,20
40,holm_bonferroni,0.2,20
41,holm_bonferroni,0.14285714285714285,20
42,holm_bonferroni,0.0,20
43,holm_bonferroni,0.0,20
44,holm_bonferroni,0.0,20
45,holm_bonferroni,0.0,20
46,holm_bonferroni,0.0,20
47,holm_bonferroni,0.06896551724137931,20
48,holm_bonferroni,0.0,20
49,holm_bonferroni,0.0,20
50,holm_bonferroni,0.0,20
51,holm_bonferroni,0.0,20
52,holm_bonferroni,0.0,20
53,holm_bonferroni,0.0,20
54,holm_bonferroni,0.0,20
55,holm_bonferroni,,20
56,holm_bonferroni,0.0,20
57,holm_bonferroni,0.0,20
58,holm_bonferroni,0.07142857142857142,20
59,holm_bonferroni,0.0,20
60,holm_bonferroni,0.0,20
61,holm_bonferroni,1.0,20
62,holm_bonferroni,0.25806451612903225,20
63,holm_bonferroni,0.4,20
64,holm_bonferroni,0.0,20
65,holm_bonferroni,0.0,20
66,holm_bonferroni,0.07142857142857142,20
67,holm_bonferroni,0.0,20
68,holm_bonferroni,0.07142857142857142,20
69,holm_bonferroni,0.0,20
70,holm_bonferroni,0.0,20
71,holm_bonferroni,0.0,20
72,sidak,0.0,20
73,sidak,0.6,20
74,sidak,0.0,20
75,sidak,0.13333333333333333,20
76,sidak,0.0,20
77,sidak,0.3333333333333333,20
78,sidak,0.0,20
79,sidak,0.18181818181818182,20
80,sidak,0.0,20
81,sidak,0.0,20
82,sidak,0.0,20
83,sidak,0.0,20
84,sidak,0.0,20
85,sidak,,20
86,sidak,0.0,20
87,sidak,0.0,20
88,sidak,0.15384615384615385,20
89,sidak,0.0,20
90,sidak,0.4,20
91,sidak,0.0,20
92,sidak,0.0,20
93,sidak,0.18181818181818182,20
94,sidak,0.0,20
95,sidak,0.0,20
96,sidak,0.0,20
97,sidak,0.0,20
98,sidak,0.18181818181818182,20
99,sidak,0.0,20
100,sidak,0.0,20
101,sidak,0.14285714285714285,20
102,sidak,0.0,20
103,sidak,0.0,20
104,sidak,0.0,20
105,sidak,0.0,20
106,sidak,0.0,20
107,sidak,0.0,20
108,sidak,0.125,20
109,sidak,0.0,20
110,sidak,0.0,20
111,sidak,0.1111111111111111,20
112,sidak,0.1951219512195122,20
113,sidak,0.13333333333333333,20
114,sidak,0.0,20
115,sidak,0.0,20
116,sidak,0.0,20
117,sidak,0.0,20
118,sidak,0.0,20
119,sidak,0.06896551724137931,20
120,sidak,0.0,20
121,sidak,0.0,20
122,sidak,0.0,20
123,sidak,0.0,20
124,sidak,0.0,20
125,sidak,0.0,20
126,sidak,0.0,20
127,sidak,,20
128,sidak,0.0,20
129,sidak,0.0,20
130,sidak,0.06896551724137931,20
131,sidak,0.0,20
132,sidak,0.0,20
133,sidak,0.6666666666666666,20
134,sidak,0.25806451612903225,20
135,sidak,0.4,20
136,sidak,0.0,20
137,sidak,0.0,20
138,sidak,0.07142857142857142,20
139,sidak,0.0,20
140,sidak,0.07142857142857142,20
141,sidak,0.0,20
142,sidak,0.0,20
