,corr_method,dice_coeff,sample_size
0,holm_bonferroni,0.6068965517241379,90
1,holm_bonferroni,0.6279863481228669,90
2,holm_bonferroni,0.6423841059602649,90
3,holm_bonferroni,0.6206896551724138,90
4,holm_bonferroni,0.6419753086419753,90
5,holm_bonferroni,0.644927536231884,90
6,holm_bonferroni,0.6691176470588235,90
7,holm_bonferroni,0.6153846153846154,90
8,holm_bonferroni,0.6516129032258065,90
9,holm_bonferroni,0.6285714285714286,90
10,holm_bonferroni,0.6666666666666666,90
11,holm_bonferroni,0.6804123711340206,90
12,holm_bonferroni,0.5808580858085809,90
13,holm_bonferroni,0.6794871794871795,90
14,holm_bonferroni,0.6810035842293907,90
15,holm_bonferroni,0.6912751677852349,90
16,holm_bonferroni,0.6689655172413793,90
17,holm_bonferroni,0.6736842105263158,90
18,holm_bonferroni,0.651685393258427,90
19,holm_bonferroni,0.6762589928057554,90
20,sidak,0.6013986013986014,90
21,sidak,0.629757785467128,90
22,sidak,0.6440677966101694,90
23,sidak,0.6105263157894737,90
24,sidak,0.6134185303514377,90
25,sidak,0.654275092936803,90
26,sidak,0.6666666666666666,90
27,sidak,0.6144200626959248,90
28,sidak,0.6447368421052632,90
29,sidak,0.6302250803858521,90
30,sidak,0.6778523489932886,90
31,sidak,0.6827586206896552,90
32,sidak,0.5838926174496645,90
33,sidak,0.6842105263157895,90
34,sidak,0.6813186813186813,90
35,sidak,0.6986301369863014,90
36,sidak,0.6713780918727915,90
37,sidak,0.6690647482014388,90
38,sidak,0.6515151515151515,90
39,sidak,0.6813186813186813,90
40,bonferroni,0.607773851590106,90
41,bonferroni,0.6341463414634146,90
42,bonferroni,0.6462585034013606,90
43,bonferroni,0.6105263157894737,90
44,bonferroni,0.6064516129032258,90
45,bonferroni,0.6567164179104478,90
46,bonferroni,0.6666666666666666,90
47,bonferroni,0.6163522012578616,90
48,bonferroni,0.6447368421052632,90
49,bonferroni,0.6302250803858521,90
50,bonferroni,0.6734006734006734,90
51,bonferroni,0.6805555555555556,90
52,bonferroni,0.5838926174496645,90
53,bonferroni,0.6842105263157895,90
54,bonferroni,0.6789667896678967,90
55,bonferroni,0.7034482758620689,90
56,bonferroni,0.6761565836298933,90
57,bonferroni,0.6714801444043321,90
58,bonferroni,0.6436781609195402,90
59,bonferroni,0.6888888888888889,90
60,lsu,0.6629711751662971,90
61,lsu,0.7178329571106095,90
62,lsu,0.7048458149779736,90
63,lsu,0.6910299003322259,90
64,lsu,0.757871878393051,90
65,lsu,0.72,90
66,lsu,0.7298245614035088,90
67,lsu,0.7289340101522843,90
68,lsu,0.7522123893805309,90
69,lsu,0.7247007616974973,90
70,lsu,0.7398463227222832,90
71,lsu,0.7494199535962877,90
72,lsu,0.705114254624592,90
73,lsu,0.6931106471816284,90
74,lsu,0.7347876004592423,90
75,lsu,0.7418994413407821,90
76,lsu,0.7260428410372041,90
77,lsu,0.6957547169811321,90
78,lsu,0.7300115874855156,90
79,lsu,0.7332549941245593,90
80,eff_0.05,0.672566371681416,90
81,eff_0.05,0.7155361050328227,90
82,eff_0.05,0.6879120879120879,90
83,eff_0.05,0.6908690869086909,90
84,eff_0.05,0.7489082969432315,90
85,eff_0.05,0.7136258660508084,90
86,eff_0.05,0.7351598173515982,90
87,eff_0.05,0.7253886010362695,90
88,eff_0.05,0.7497219132369299,90
89,eff_0.05,0.7141292442497261,90
90,eff_0.05,0.7412280701754386,90
91,eff_0.05,0.7397260273972602,90
92,eff_0.05,0.7100977198697068,90
93,eff_0.05,0.6958333333333333,90
94,eff_0.05,0.7346938775510204,90
95,eff_0.05,0.735658042744657,90
96,eff_0.05,0.7396648044692737,90
97,eff_0.05,0.7053364269141531,90
98,eff_0.05,0.7309875141884222,90
99,eff_0.05,0.7331786542923434,90
100,eff_0.1,0.6430594900849859,90
101,eff_0.1,0.6666666666666666,90
102,eff_0.1,0.664796633941094,90
103,eff_0.1,0.6580459770114943,90
104,eff_0.1,0.7313019390581718,90
105,eff_0.1,0.7082728592162555,90
106,eff_0.1,0.7115666178623719,90
107,eff_0.1,0.6827309236947792,90
108,eff_0.1,0.7257617728531855,90
109,eff_0.1,0.6776406035665294,90
110,eff_0.1,0.7196652719665272,90
111,eff_0.1,0.7124087591240876,90
112,eff_0.1,0.6983695652173914,90
113,eff_0.1,0.675392670157068,90
114,eff_0.1,0.7065693430656934,90
115,eff_0.1,0.7146892655367232,90
116,eff_0.1,0.7169811320754716,90
117,eff_0.1,0.6784660766961652,90
118,eff_0.1,0.7132243684992571,90
119,eff_0.1,0.7227138643067846,90
120,eff_0.15,0.6290018832391714,90
121,eff_0.15,0.6764705882352942,90
122,eff_0.15,0.6618962432915921,90
123,eff_0.15,0.6629001883239172,90
124,eff_0.15,0.7099099099099099,90
125,eff_0.15,0.6640625,90
126,eff_0.15,0.6809338521400778,90
127,eff_0.15,0.6419753086419753,90
128,eff_0.15,0.7044247787610619,90
129,eff_0.15,0.6956521739130435,90
130,eff_0.15,0.6998158379373849,90
131,eff_0.15,0.6992481203007519,90
132,eff_0.15,0.6510791366906474,90
133,eff_0.15,0.6509274873524452,90
134,eff_0.15,0.6926070038910506,90
135,eff_0.15,0.7269439421338155,90
136,eff_0.15,0.7121212121212122,90
137,eff_0.15,0.659047619047619,90
138,eff_0.15,0.6900584795321637,90
139,eff_0.15,0.7159090909090909,90
